Gene stable ID	Transcript stable ID	Protein stable ID	Gene name	UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID	RefSeq peptide ID
ENSDARG00000005775	ENSDART00000191870	ENSDARP00000155447	scn8aa		A0A2R8QLY1	
ENSDARG00000037429	ENSDART00000054472	ENSDARP00000054471	tll1	O57460	B3DJN6	NP_571085
ENSDARG00000008380	ENSDART00000143300	ENSDARP00000112550	brd7		B0S7E1	NP_998531
ENSDARG00000020201	ENSDART00000157155	ENSDARP00000129750	cdc73		X1WHN7	NP_001278325
ENSDARG00000021220	ENSDART00000192547	ENSDARP00000151601	hmgcl		F1QTF0	
ENSDARG00000053344	ENSDART00000134073	ENSDARP00000123403	adgrd1		Q5PR47	
ENSDARG00000096156	ENSDART00000150764	ENSDARP00000125405	si:dkey-21h14.12		H0WEX5	
ENSDARG00000069827	ENSDART00000101923	ENSDARP00000092698	crygm2d11		B0UY86	NP_001103328
ENSDARG00000058597	ENSDART00000149260	ENSDARP00000124641	nt5c3a		F8W2Q8	NP_955854
ENSDARG00000077996	ENSDART00000138769	ENSDARP00000117205	cdh24b		B8A4Q1	
ENSDARG00000071457	ENSDART00000105666	ENSDARP00000096443	crp6		A3KPH6	NP_001122266
ENSDARG00000004953	ENSDART00000009315	ENSDARP00000128925	mxb		X1WFC1	NP_001122144
ENSDARG00000043912	ENSDART00000137135	ENSDARP00000116446	mei4	Q5PNP6		NP_001153485
ENSDARG00000076160	ENSDART00000112071	ENSDARP00000098682	si:dkey-285e18.2		F1QCY6	
ENSDARG00000073707	ENSDART00000180289	ENSDARP00000153551	cnksr2b		A0A2R8RV71	
ENSDARG00000037429	ENSDART00000182810	ENSDARP00000146714	tll1	O57460	B3DJN6	
ENSDARG00000053344	ENSDART00000148358	ENSDARP00000119732	adgrd1		F1R472	
ENSDARG00000058597	ENSDART00000187916	ENSDARP00000151921	nt5c3a		A0A2R8QBD3	
ENSDARG00000043912	ENSDART00000179299	ENSDARP00000143911	mei4		A0A286Y9R6	
ENSDARG00000088571	ENSDART00000145368	ENSDARP00000118055	si:ch211-151o1.4		F1QC39	NP_001352779
ENSDARG00000089645	ENSDART00000124938	ENSDARP00000109328	si:ch1073-406l10.2		F1QJT5	
ENSDARG00000036994	ENSDART00000135470	ENSDARP00000114150	tbc1d16		F1QJX4	
ENSDARG00000044808	ENSDART00000048399	ENSDARP00000048398	slc4a4b		F1QD14	
ENSDARG00000094524	ENSDART00000152812	ENSDARP00000126982	si:ch211-1f22.11		R4GER9	
ENSDARG00000088571	ENSDART00000189704	ENSDARP00000154214	si:ch211-151o1.4		A0A2R8QJ68	
ENSDARG00000053344	ENSDART00000146152	ENSDARP00000114213	adgrd1		F1QXM9	
ENSDARG00000036994	ENSDART00000184882	ENSDARP00000146417	tbc1d16		F1QJX4	
ENSDARG00000063311	ENSDART00000156685	ENSDARP00000129239	soga3a		X1WHG9	
ENSDARG00000095946	ENSDART00000150005	ENSDARP00000138026	si:ch73-341k19.1		A0A0R4IRQ1	
ENSDARG00000036994	ENSDART00000182342	ENSDARP00000150892	tbc1d16		E7FE32	
ENSDARG00000053344	ENSDART00000191927	ENSDARP00000155583	adgrd1		Q5PR47	
ENSDARG00000073707	ENSDART00000162711	ENSDARP00000132267	cnksr2b		A0A0R4IFZ1	
ENSDARG00000044808	ENSDART00000169613	ENSDARP00000138946	slc4a4b		A0A0R4IUL4	
ENSDARG00000004953	ENSDART00000110696	ENSDARP00000100431	mxb		B8JKI4	
ENSDARG00000097245	ENSDART00000156765	ENSDARP00000129681	soga3a		X1WHG9	
ENSDARG00000076213	ENSDART00000152011	ENSDARP00000126386	DOCK4		K7DY59	
ENSDARG00000077996	ENSDART00000171527	ENSDARP00000139499	cdh24b		A0A0R4ISC0	
ENSDARG00000117163	ENSDART00000158444	ENSDARP00000137362	znf1114		H0WFH2	
ENSDARG00000087835	ENSDART00000137552	ENSDARP00000116673	si:ch211-113p18.3		F1R137	
ENSDARG00000076213	ENSDART00000087817	ENSDARP00000082250	DOCK4		F1QP04	
ENSDARG00000071037	ENSDART00000021177	ENSDARP00000009932	pex13		Q6PFQ3	NP_956939
ENSDARG00000076213	ENSDART00000185404	ENSDARP00000147531	DOCK4		A0A2R8Q1C9	
ENSDARG00000098237	ENSDART00000167748	ENSDARP00000134527	fbn2b		A0A0G2KQ62	NP_001129262
ENSDARG00000030156	ENSDART00000048046	ENSDARP00000048045	naglu		E7EYP9	
ENSDARG00000017905	ENSDART00000140076	ENSDARP00000115915	casp3a		E9QIX2	
ENSDARG00000103883	ENSDART00000171017	ENSDARP00000137192	si:ch1073-181h11.2		A0A0R4IS90	
ENSDARG00000076213	ENSDART00000193191	ENSDARP00000146023	DOCK4		A0A2R8PYB0	
ENSDARG00000041429	ENSDART00000129776	ENSDARP00000111847	ints14		Q7ZUK5	NP_956128
ENSDARG00000031283	ENSDART00000045565	ENSDARP00000045564	vamp1		Q6PBJ3	NP_998563
ENSDARG00000077996	ENSDART00000159066	ENSDARP00000135839	cdh24b		A0A0R4IKD8	
ENSDARG00000039501	ENSDART00000073663	ENSDARP00000068153	ugt2a6		B8JMA1	NP_001138283
ENSDARG00000095704	ENSDART00000139844	ENSDARP00000119817	si:dkey-4c15.13		A8DZB5	
ENSDARG00000103883	ENSDART00000137708	ENSDARP00000114839	si:ch1073-181h11.2		F1QJF8	
ENSDARG00000076499	ENSDART00000145012	ENSDARP00000113941	usp53b		E9QHZ8	
ENSDARG00000039501	ENSDART00000124128	ENSDARP00000112304	ugt2a6		F1RDD2	
ENSDARG00000042807	ENSDART00000148872	ENSDARP00000124983	slc16a4		F1QW16	
ENSDARG00000076499	ENSDART00000109714	ENSDARP00000100235	usp53b		E7FGV9	
ENSDARG00000031283	ENSDART00000137505	ENSDARP00000117256	vamp1		Q6PBJ3	
ENSDARG00000061194	ENSDART00000086984	ENSDARP00000081418	hectd2		E7EYX5	
ENSDARG00000090889	ENSDART00000124159	ENSDARP00000109049	LECT2		E7F1W2	
ENSDARG00000097406	ENSDART00000155832	ENSDARP00000129440	si:dkey-81e3.2		X1WGT1	
ENSDARG00000023053	ENSDART00000099690	ENSDARP00000090464	niban1b		E7FC82	
ENSDARG00000095704	ENSDART00000132149	ENSDARP00000115579	si:dkey-4c15.13		A8DZB4	
ENSDARG00000042807	ENSDART00000078656	ENSDARP00000073117	slc16a4		F1QW16	NP_001074068
ENSDARG00000095704	ENSDART00000174974	ENSDARP00000144523	si:dkey-4c15.13		A0A286YBD6	
ENSDARG00000061194	ENSDART00000152133	ENSDARP00000126871	hectd2		R4GEF8	
ENSDARG00000031420	ENSDART00000031499	ENSDARP00000029174	wt1a		Q9PUT7	NP_571121
ENSDARG00000058231	ENSDART00000065125	ENSDARP00000065124	nt5c2b		F1QAK5	NP_001073435
ENSDARG00000078954	ENSDART00000147429	ENSDARP00000126017	rxrba		I3ISW9	
ENSDARG00000090889	ENSDART00000183719	ENSDARP00000154381	LECT2		A0A2R8QNT6	
ENSDARG00000068515	ENSDART00000138581	ENSDARP00000112602	chs1		F1RBW8	
ENSDARG00000105068	ENSDART00000170318	ENSDARP00000131548	SMIM22		A0A0R4IAP1	NP_001258702
ENSDARG00000078954	ENSDART00000130234	ENSDARP00000125653	rxrba		I3IRZ2	
ENSDARG00000061194	ENSDART00000168105	ENSDARP00000135476	hectd2		A0A0R4ILS9	
ENSDARG00000035427	ENSDART00000138116	ENSDARP00000121048	surf6		Q6DRK9	
ENSDARG00000061864	ENSDART00000153055	ENSDARP00000127252	hdlbpb		E7FCA5	
ENSDARG00000070959	ENSDART00000139385	ENSDARP00000118910	si:ch211-288g17.3		A3KPI6	
ENSDARG00000102585	ENSDART00000164646	ENSDARP00000130306	fam160a1b		F8W4Z9	
ENSDARG00000070127	ENSDART00000149088	ENSDARP00000124661	nfxl1		F8W2N9	
ENSDARG00000002508	ENSDART00000023686	ENSDARP00000020482	ankrd33ab		E7F2T9	
ENSDARG00000074056	ENSDART00000111063	ENSDARP00000098598	kctd1		Q5SNS9	
ENSDARG00000035427	ENSDART00000051344	ENSDARP00000051343	surf6		Q6DRK9	NP_957359
ENSDARG00000040465	ENSDART00000059230	ENSDARP00000059229	irf2		E7F6T3	NP_001315303
ENSDARG00000070959	ENSDART00000186419	ENSDARP00000155244	si:ch211-288g17.3		A0A2R8QLI0	
ENSDARG00000041429	ENSDART00000135800	ENSDARP00000119654	ints14		Q1LWK5	
ENSDARG00000061864	ENSDART00000178840	ENSDARP00000144455	hdlbpb		E7FCA5	
ENSDARG00000062562	ENSDART00000152603	ENSDARP00000126905	egln2		E7F8S1	
ENSDARG00000099304	ENSDART00000158914	ENSDARP00000132312	si:ch211-51f19.1		A0A0R4IF06	
ENSDARG00000070127	ENSDART00000102658	ENSDARP00000093433	nfxl1		E7EYV6	
ENSDARG00000062562	ENSDART00000190066	ENSDARP00000152746	egln2		E7F8S1	
ENSDARG00000068515	ENSDART00000134963	ENSDARP00000117793	chs1		F1QYS0	
ENSDARG00000002508	ENSDART00000155088	ENSDARP00000129515	ankrd33ab		X1WH06	
ENSDARG00000074056	ENSDART00000144172	ENSDARP00000122151	kctd1		F1QX14	
ENSDARG00000038359	ENSDART00000135068	ENSDARP00000122716	enosf1		E9QG12	
ENSDARG00000041429	ENSDART00000060731	ENSDARP00000060730	ints14		Q1LWK5	
ENSDARG00000074056	ENSDART00000189225	ENSDARP00000157270	kctd1		A0A2R8QQY5	
ENSDARG00000088885	ENSDART00000128404	ENSDARP00000110427	si:ch1073-340i21.3		E7F969	NP_001292504
ENSDARG00000096187	ENSDART00000150600	ENSDARP00000125402	si:dkey-21h14.10		H0WEX2	
ENSDARG00000094425	ENSDART00000131712	ENSDARP00000116586	si:ch211-222m18.4		F1R1G9	
ENSDARG00000076014	ENSDART00000148440	ENSDARP00000124740	ERC1		E7F1B0	
ENSDARG00000059354	ENSDART00000082454	ENSDARP00000076889	glmp	Q66HW4		NP_001004580
ENSDARG00000101009	ENSDART00000171675	ENSDARP00000130899	cited4b		A0A0R4ID40	
ENSDARG00000076014	ENSDART00000027829	ENSDARP00000027310	ERC1		F1QFN1	
ENSDARG00000056680	ENSDART00000079215	ENSDARP00000073671	stc2a		A1L1M8	NP_001014827
ENSDARG00000086327	ENSDART00000127015	ENSDARP00000136286	srrm4		A0A0R4IL26	
ENSDARG00000026871	ENSDART00000036797	ENSDARP00000034536	uchl1		Q6YI49	NP_958885
ENSDARG00000025346	ENSDART00000148920	ENSDARP00000124096	znf277		F8W3G1	NP_956724
ENSDARG00000068515	ENSDART00000135782	ENSDARP00000121629	chs1		F1R5W0	
ENSDARG00000098876	ENSDART00000159935	ENSDARP00000130580	si:dkey-199m13.5		A0A0R4ICG2	
ENSDARG00000075556	ENSDART00000155838	ENSDARP00000129096	luzp1		X1WFU1	
ENSDARG00000033466	ENSDART00000049900	ENSDARP00000049899	tagln2		Q803W9	NP_963870
ENSDARG00000055610	ENSDART00000077962	ENSDARP00000072428	exoc2		Q5RGD7	NP_956898
ENSDARG00000056065	ENSDART00000078491	ENSDARP00000072953	mov10b.2	Q1LXK5		NP_001037805
ENSDARG00000038359	ENSDART00000184943	ENSDARP00000153959	enosf1		A0A2R8QMU4	
ENSDARG00000090194	ENSDART00000126897	ENSDARP00000106008	lamtor5		E7FA90	NP_001315002
ENSDARG00000038359	ENSDART00000098412	ENSDARP00000089183	enosf1		F6NQN9	
ENSDARG00000038359	ENSDART00000055956	ENSDARP00000055955	enosf1		F1Q510	NP_001070210
ENSDARG00000040465	ENSDART00000167074	ENSDARP00000130583	irf2		A0A0R4IBK0	NP_001307117
ENSDARG00000101009	ENSDART00000167001	ENSDARP00000137672	cited4b		A8E5L7	NP_956372
ENSDARG00000033466	ENSDART00000161054	ENSDARP00000130582	tagln2		Q803W9	
ENSDARG00000068515	ENSDART00000131747	ENSDARP00000118020	chs1		F1QC77	
ENSDARG00000044924	ENSDART00000066033	ENSDARP00000066032	gdf11		Q8JFP9	NP_998140
ENSDARG00000101009	ENSDART00000183618	ENSDARP00000148949	cited4b		A8E5L7	
ENSDARG00000093833	ENSDART00000134976	ENSDARP00000112937	si:ch73-382f3.1		E9QCV3	NP_001243612
ENSDARG00000062146	ENSDART00000089506	ENSDARP00000083939	larp4b		Q05AJ1	NP_001071030
ENSDARG00000102061	ENSDART00000159165	ENSDARP00000139089	b3galt2		A0A0R4IW37	NP_996984
