Gene stable ID	Transcript stable ID	Protein stable ID	NCBI gene (formerly Entrezgene) ID	UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID	Gene name	RefSeq peptide ID
WBGene00000018	M79.1e.1	M79.1e.1	181261		A0A5E4LZH0	abl-1	NP_001368776	
WBGene00000019	C24F3.5a.1	C24F3.5a.1	182849		S6EZS3	abt-1	NP_001293855	
WBGene00000019	C24F3.5b.1	C24F3.5b.1	182849		S6FN28	abt-1	NP_001293855	
WBGene00000020	F12B6.1a.1	F12B6.1a.1	171782		Q1RS86	abt-2	NP_001368466	
WBGene00000020	F12B6.1b.1	F12B6.1b.1	171782		X5LXB2	abt-2	NP_001368466	
WBGene00000022	Y39D8C.1.1	Y39D8C.1.1	178559		Q9TXV8	abt-4	NP_503175	
WBGene00000023	Y53C10A.9.1	Y53C10A.9.1	173081		Q9XW49	abt-5	NP_001364572	
WBGene00000024	AC3.3.1	AC3.3.1	181800		Q17400	abu-1	NP_505667	
WBGene00000025	F19G12.7.1	F19G12.7.1	184695		Q19594	abu-2	NP_508265	
WBGene00000027	Y5H2A.3.1	Y5H2A.3.1	353458		Q86S74	abu-4	NP_872210	
WBGene00000028	Y105C5A.4.1	Y105C5A.4.1	190870		Q9NF70	abu-5	NP_502873	
WBGene00000029	C03A7.7.1	C03A7.7.1	178903		O16501	abu-6	NP_504383	
WBGene00000030	C03A7.8.1	C03A7.8.1	182139		O16502	abu-7	NP_504384	
WBGene00000031	C03A7.14.1	C03A7.14.1	178904		O16511	abu-8	NP_504393	
WBGene00000032	R09F10.2.1	R09F10.2.1	187749		G5EGB7	abu-9	NP_509407	
WBGene00000033	F35A5.3.1	F35A5.3.1	185248		Q20002	abu-10	NP_508659	
WBGene00000034	T01D1.6.1	T01D1.6.1	173404		P91419	abu-11	NP_493679	
WBGene00000035	W09B12.1.1	W09B12.1.1	181706	P38433		ace-1	NP_510660	
WBGene00000036	Y44E3A.2.1	Y44E3A.2.1	171905		G5EDV9	ace-2	NP_491141	
WBGene00000036	Y44E3A.2.2	Y44E3A.2.2	171905		G5EDV9	ace-2	NP_491141	
WBGene00000037	Y48B6A.8.1	Y48B6A.8.1	175076		Q9U295	ace-3	NP_496963	
WBGene00000038	Y48B6A.7.1	Y48B6A.7.1	175074		G5EDN1	ace-4	NP_496962	
WBGene00000039	C42D8.5.1	C42D8.5.1	180780	Q18581		acn-1	NP_001024453	
WBGene00000040	ZK455.1.1	ZK455.1.1	181324	Q23500		aco-1	NP_509898	
WBGene00000041	F54H12.1a.1	F54H12.1a.1	176121	P34455		aco-2	NP_498738	
WBGene00000041	F54H12.1c.1	F54H12.1c.1	176121	P34455		aco-2	NP_498738	
WBGene00000041	F54H12.1c.2	F54H12.1c.2	176121	P34455		aco-2	NP_498738	
WBGene00000041	F54H12.1c.3	F54H12.1c.3	176121	P34455		aco-2	NP_498738	
WBGene00000042	K11G12.2.1	K11G12.2.1	180936	P48182		acr-2	NP_509128	
WBGene00000043	K11G12.7.1	K11G12.7.1	180937	Q93149		acr-3	NP_509129	
WBGene00000044	K03F8.2.1	K03F8.2.1	191596	P54246		acr-5	NP_001367477	
WBGene00000045	ZK973.5.1	ZK973.5.1	191479		Q9N4M3	acr-6	NP_491354	
WBGene00000046	T09A5.3.1	T09A5.3.1	174262	P45963		acr-7	NP_495647	
WBGene00000047	ZC504.2.1	ZC504.2.1	181246		Q23355	acr-8	NP_001361818	
WBGene00000047	ZC504.2.2	ZC504.2.2	181246		Q23355	acr-8	NP_001361818	
WBGene00000048	C40C9.2.1	C40C9.2.1	191597		Q18556	acr-9	NP_510285	
WBGene00000049	R02E12.8.1	R02E12.8.1	191598		Q21645	acr-10	NP_508692	
WBGene00000050	D2092.3.1	D2092.3.1	191599		P91197	acr-11	NP_491906	
WBGene00000051	R01E6.4a.1	R01E6.4a.1	181475		G5EDF1	acr-12	NP_001300370	
WBGene00000051	R01E6.4b.1	R01E6.4b.1	181475		A0A0K3ATC5	acr-12	NP_001300370	
WBGene00000053	T05C12.2.1	T05C12.2.1	191601		Q22224	acr-14	NP_495716	
WBGene00000054	F25G6.4.1	F25G6.4.1	191602		O16926	acr-15	NP_505206	
WBGene00000055	F25G6.3.1	F25G6.3.1	179235	P48180		acr-16	NP_505207	
WBGene00000056	F53E10.2b.1	F53E10.2b.1	191603		Q6F6K3	acr-17	NP_001303733	
WBGene00000056	F53E10.2g.1	F53E10.2g.1	191603		A0A0M7RFG1	acr-17	NP_001303733	
WBGene00000056	F53E10.2h.1	F53E10.2h.1	191603		A0A0M7RDU0	acr-17	NP_001303733	
WBGene00000056	F53E10.2i.1	F53E10.2i.1	191603		A0A0M7REC3	acr-17	NP_001303733	
WBGene00000057	F28F8.1.1	F28F8.1.1	191604		G5EG72	acr-18	NP_506868	
WBGene00000058	C31H5.3a.1	C31H5.3a.1	191605		G5EGB5	acr-19	NP_001129756	
WBGene00000058	C31H5.3b.1	C31H5.3b.1	191605		B3WFZ2	acr-19	NP_001129756	
WBGene00000059	R06A4.10a.1	R06A4.10a.1	187632		Q9U398	acr-20	NP_001367183	
WBGene00000059	R06A4.10b.1	R06A4.10b.1	187632		Q7JKI4	acr-20	NP_001367183	
WBGene00000059	R06A4.10c.1	R06A4.10c.1	187632		B1Q281	acr-20	NP_001367183	
WBGene00000060	F27B3.2a.1	F27B3.2a.1	185004		A0A3P6P985	acr-21	NP_001355515	
WBGene00000060	F27B3.2b.1	F27B3.2b.1	185004		A0A3P6NP92	acr-21	NP_001355515	
WBGene00000060	F27B3.2c.1	F27B3.2c.1	185004		A0A3P6MY71	acr-21	NP_001355515	
WBGene00000060	F27B3.2d.1	F27B3.2d.1	185004		A0A3P6N6F5	acr-21	NP_001355515	
WBGene00000061	F48E3.7.1	F48E3.7.1	181009		G5EGR1	lgc-11	NP_509270	
WBGene00000062	F59B1.9a.1	F59B1.9a.1	191606	G5EG88		acr-23	NP_001317822	
WBGene00000062	F59B1.9b.1	F59B1.9b.1	191606		A0A168H5T6	acr-23	NP_001317822	
WBGene00000063	T04C12.6.1	T04C12.6.1	179535	P0DM41		act-1	NP_505819	
WBGene00000064	T04C12.5.1	T04C12.5.1	179534	P10984		act-2	NP_001370033	
WBGene00000065	T04C12.4.1	T04C12.4.1	179533	P0DM42		act-3	NP_001366892	
WBGene00000065	T04C12.4.2	T04C12.4.2	179533	P0DM42		act-3	NP_001366892	
WBGene00000065	T04C12.4.3	T04C12.4.3	179533	P0DM42		act-3	NP_001366892	
WBGene00000066	M03F4.2a.1	M03F4.2a.1	180767	P10986		act-4	NP_001368079	
WBGene00000066	M03F4.2b.1	M03F4.2b.1	180767		Q95ZL1	act-4	NP_001368079	
WBGene00000067	T25C8.2.1	T25C8.2.1	176793		O45815	act-5	NP_499809	
WBGene00000068	F17C8.1.1	F17C8.1.1	175622		Q19523	acy-1	NP_497970	
WBGene00000069	C10F3.3.1	C10F3.3.1	191607		O16880	acy-2	NP_504553	
WBGene00000070	C44F1.5.1	C44F1.5.1	175489		G5EE33	acy-3	NP_497765	
WBGene00000071	T01C2.1.1	T01C2.1.1	178949		Q966F9	acy-4	NP_504486	
WBGene00000072	F39C12.2a.1	F39C12.2a.1	180760	Q9U9K0		add-1	NP_001367832	
WBGene00000072	F39C12.2b.1	F39C12.2b.1	180760	Q9U9K0		add-1	NP_001367832	
WBGene00000072	F39C12.2c.1	F39C12.2c.1	180760	Q9U9K0		add-1	NP_001367832	
WBGene00000072	F39C12.2d.1	F39C12.2d.1	180760	Q9U9K0		add-1	NP_001367832	
WBGene00000072	F39C12.2e.1	F39C12.2e.1	180760		G8JYB0	add-1	NP_001367832	
WBGene00000073	F57F5.4a.1	F57F5.4a.1	179647	Q20952		add-2	NP_001041131	
WBGene00000073	F57F5.4b.1	F57F5.4b.1	179647		Q1ZXU2	add-2	NP_001041131	
WBGene00000074	C04A11.4a.1	C04A11.4a.1	181489		G5EDW5	adm-2	NP_001355451	
WBGene00000074	C04A11.4b.1	C04A11.4b.1	181489		A0A3B1E9Z5	adm-2	NP_001355451	
WBGene00000075	ZK154.7.1	ZK154.7.1	181041	Q94316		adm-4	NP_509318	
WBGene00000079	H15N14.1c.1	H15N14.1c.1	172542	Q9U3D6		adr-1	NP_871803	
WBGene00000079	H15N14.1d.1	H15N14.1d.1	172542	Q9U3D6		adr-1	NP_871803	
WBGene00000079	H15N14.1e.1	H15N14.1e.1	172542	Q9U3D6		adr-1	NP_871803	
WBGene00000079	H15N14.1f.1	H15N14.1f.1	172542	Q9U3D6		adr-1	NP_871803	
WBGene00000079	H15N14.1g.1	H15N14.1g.1	172542	Q9U3D6		adr-1	NP_871803	
WBGene00000080	T20H4.4.1	T20H4.4.1	176022	Q22618		adr-2	NP_498594	
WBGene00000081	Y50D7A.7.1	Y50D7A.7.1	175192	O45218		ads-1	NP_497185	
WBGene00000082	C02B4.1a.1	C02B4.1a.1	181412	G5ECS8		adt-1	NP_001361951	
WBGene00000082	C02B4.1b.1	C02B4.1b.1	181412		Q22580	adt-1	NP_001361951	
WBGene00000083	F08C6.1a.1	F08C6.1a.1	181022	Q19204		adt-2	NP_001361970	
WBGene00000083	F08C6.1b.1	F08C6.1b.1	181022		Q7Z292	adt-2	NP_001361970	
WBGene00000083	F08C6.1c.1	F08C6.1c.1	181022		Q7Z291	adt-2	NP_001361970	
WBGene00000084	D2030.10a.1	D2030.10a.1	172519	G5EEU3		aex-1	NP_001021074	
WBGene00000084	D2030.10b.1	D2030.10b.1	172519		G5ECE1	aex-1	NP_001021074	
WBGene00000085	T14B1.2.1	T14B1.2.1	188491	G5ECD9		aex-2	NP_509626	
WBGene00000086	C02H7.3a.1	C02H7.3a.1	180420	O02626		aex-3	NP_001024342	
WBGene00000086	C02H7.3b.1	C02H7.3b.1	180420	O02626		aex-3	NP_001024342	
WBGene00000088	F32A7.6.1	F32A7.6.1	173358	P91863		aex-5	NP_493594	
WBGene00000089	Y87G2A.4.1	Y87G2A.4.1	173223		G5EBS5	aex-6	NP_493376	
WBGene00000090	B0334.8a.1	B0334.8a.1	174762	Q94125		age-1	NP_001300488	
WBGene00000090	B0334.8b.1	B0334.8b.1	174762	Q94125		age-1	NP_001300488	
WBGene00000092	F32A6.4a.1	F32A6.4a.1	180801		Q19955	ags-3	NP_001309692	
WBGene00000092	F32A6.4a.2	F32A6.4a.2	180801		Q19955	ags-3	NP_001309692	
WBGene00000092	F32A6.4d.1	F32A6.4d.1	180801		A0A131MD77	ags-3	NP_001309692	
WBGene00000092	F32A6.4e.1	F32A6.4e.1	180801		A0A131MBW5	ags-3	NP_001309692	
WBGene00000092	F32A6.4f.1	F32A6.4f.1	180801		A0A131MBC1	ags-3	NP_001309692	
WBGene00000092	F32A6.4f.2	F32A6.4f.2	180801		A0A131MBC1	ags-3	NP_001309692	
WBGene00000092	F32A6.4f.3	F32A6.4f.3	180801		A0A131MBC1	ags-3	NP_001309692	
WBGene00000092	F32A6.4f.4	F32A6.4f.4	180801		A0A131MBC1	ags-3	NP_001309692	
WBGene00000092	F32A6.4f.5	F32A6.4f.5	180801		A0A131MBC1	ags-3	NP_001309692	
WBGene00000092	F32A6.4g.1	F32A6.4g.1	180801		A0A131MBA1	ags-3	NP_001309692	
WBGene00000093	Y62E10A.5a.1	Y62E10A.5a.1	190454		Q9U1Y0	agt-1	NP_001041055	
WBGene00000093	Y62E10A.5b.1	Y62E10A.5b.1	190454		Q2HQK2	agt-1	NP_001041055	
WBGene00000094	F09E5.13.1	F09E5.13.1	184244		Q19263	agt-2	NP_495008	
WBGene00000095	C25A1.11.1	C25A1.11.1	172889	O02219		aha-1	NP_001251327	
WBGene00000096	C41G7.5a.1	C41G7.5a.1	172788	O44712		ahr-1	NP_001021037	
WBGene00000096	C41G7.5b.1	C41G7.5b.1	172788	O44712		ahr-1	NP_001021037	
WBGene00000097	F58E10.4.1	F58E10.4.1	179898		Q9XUW8	aip-1	NP_506479	
WBGene00000098	K07C11.2.1	K07C11.2.1	179202		G5EDL3	air-1	NP_505119	
WBGene00000099	B0207.4.1	B0207.4.1	172268	O01427		air-2	NP_491714	
WBGene00000099	B0207.4.2	B0207.4.2	172268	O01427		air-2	NP_491714	
WBGene00000100	C25A11.4a.1	C25A11.4a.1	181148	A0A1C3NSL9		ajm-1	NP_001317891	
WBGene00000100	C25A11.4a.2	C25A11.4a.2	181148	A0A1C3NSL9		ajm-1	NP_001317891	
WBGene00000100	C25A11.4a.3	C25A11.4a.3	181148	A0A1C3NSL9		ajm-1	NP_001317891	
WBGene00000100	C25A11.4a.4	C25A11.4a.4	181148	A0A1C3NSL9		ajm-1	NP_001317891	
WBGene00000100	C25A11.4b.1	C25A11.4b.1	181148		H2KYC5	ajm-1	NP_001317891	
WBGene00000100	C25A11.4c.1	C25A11.4c.1	181148		Q95ZY7	ajm-1	NP_001317891	
WBGene00000100	C25A11.4d.1	C25A11.4d.1	181148	A0A1C3NSL9		ajm-1	NP_001317891	
WBGene00000100	C25A11.4e.1	C25A11.4e.1	181148	A0A1C3NSL9		ajm-1	NP_001317891	
WBGene00000100	C25A11.4f.1	C25A11.4f.1	181148	A0A1C3NSL9		ajm-1	NP_001317891	
WBGene00000100	C25A11.4g.1	C25A11.4g.1	181148	A0A1C3NSL9		ajm-1	NP_001317891	
WBGene00000100	C25A11.4h.1	C25A11.4h.1	181148	A0A1C3NSL9		ajm-1	NP_001317891	
WBGene00000100	C25A11.4i.1	C25A11.4i.1	181148	A0A1C3NSL9		ajm-1	NP_001317891	
WBGene00000100	C25A11.4j.1	C25A11.4j.1	181148	A0A1C3NSL9		ajm-1	NP_001317891	
WBGene00000100	C25A11.4k.1	C25A11.4k.1	181148	A0A1C3NSL9		ajm-1	NP_001317891	
WBGene00000100	C25A11.4l.1	C25A11.4l.1	181148	A0A1C3NSL9		ajm-1	NP_001317891	
WBGene00000100	C25A11.4m.1	C25A11.4m.1	181148	A0A1C3NSL9		ajm-1	NP_001317891	
WBGene00000101	D1022.7a.1	D1022.7a.1	174216		Q18930	aka-1	NP_001379841	
WBGene00000101	D1022.7b.1	D1022.7b.1	174216		H2KZI9	aka-1	NP_001379841	
WBGene00000101	D1022.7c.1	D1022.7c.1	174216		Q8MQ92	aka-1	NP_001379841	
WBGene00000102	C12D8.10a.1	C12D8.10a.1	179424	Q17941		akt-1	NP_001023647	
WBGene00000102	C12D8.10b.1	C12D8.10b.1	179424	Q17941		akt-1	NP_001023647	
WBGene00000102	C12D8.10c.1	C12D8.10c.1	179424	Q17941		akt-1	NP_001023647	
WBGene00000103	F28H6.1a.1	F28H6.1a.1	181524	Q9XTG7		akt-2	NP_001024612	
WBGene00000103	F28H6.1b.1	F28H6.1b.1	181524	Q9XTG7		akt-2	NP_001024612	
WBGene00000105	F48F7.1a.1	F48F7.1a.1	181504		G5EGR6	alg-1	NP_001367206	
WBGene00000105	F48F7.1a.2	F48F7.1a.2	181504		G5EGR6	alg-1	NP_001367206	
WBGene00000105	F48F7.1a.3	F48F7.1a.3	181504		G5EGR6	alg-1	NP_001367206	
WBGene00000105	F48F7.1b.1	F48F7.1b.1	181504		G5EES3	alg-1	NP_001367206	
WBGene00000106	T07D3.7a.1	T07D3.7a.1	173468		O16720	alg-2	NP_493837	
WBGene00000106	T07D3.7b.1	T07D3.7b.1	173468		Q86B39	alg-2	NP_493837	
WBGene00000107	F54D8.3a.1	F54D8.3a.1	175691		Q20780	alh-1	NP_001379805	
WBGene00000107	F54D8.3b.1	F54D8.3b.1	175691		Q8IG19	alh-1	NP_001379805	
WBGene00000107	F54D8.3b.2	F54D8.3b.2	175691		Q8IG19	alh-1	NP_001379805	
WBGene00000108	K04F1.15.1	K04F1.15.1	187001		Q9TXM0	alh-2	NP_503467	
WBGene00000109	F36H1.6.1	F36H1.6.1	177999		G5ECV9	alh-3	NP_502054	
WBGene00000110	T05H4.13a.1	T05H4.13a.1	179026		O16518	alh-4	NP_001360568	
WBGene00000110	T05H4.13b.1	T05H4.13b.1	179026		Q8MXJ7	alh-4	NP_001360568	
WBGene00000110	T05H4.13c.1	T05H4.13c.1	179026		Q86S57	alh-4	NP_001360568	
WBGene00000110	T05H4.13d.1	T05H4.13d.1	179026		A0A486WWU7	alh-4	NP_001360568	
WBGene00000111	T08B1.3.1	T08B1.3.1	178680		O44555	alh-5	NP_503545	
WBGene00000112	F56D12.1a.1	F56D12.1a.1	173510		G5EC31	alh-6	NP_001040782	
WBGene00000112	F56D12.1a.2	F56D12.1a.2	173510		G5EC31	alh-6	NP_001040782	
WBGene00000112	F56D12.1b.1	F56D12.1b.1	173510		Q86N72	alh-6	NP_001040782	
WBGene00000112	F56D12.1c.1	F56D12.1c.1	173510		Q6A593	alh-6	NP_001040782	
WBGene00000112	F56D12.1d.1	F56D12.1d.1	173510		G4RZC3	alh-6	NP_001040782	
WBGene00000113	F45H10.1a.1	F45H10.1a.1	174991		O02266	alh-7	NP_001367295	
WBGene00000113	F45H10.1b.1	F45H10.1b.1	174991		G3MU66	alh-7	NP_001367295	
WBGene00000114	F13D12.4a.1	F13D12.4a.1	174800	P52713		alh-8	NP_001022079	
WBGene00000114	F13D12.4b.1	F13D12.4b.1	174800		Q7JMI1	alh-8	NP_001022079	
WBGene00000115	F01F1.6.1	F01F1.6.1	175820	P46562		alh-9	NP_498263	
WBGene00000115	F01F1.6.2	F01F1.6.2	175820	P46562		alh-9	NP_498263	
WBGene00000116	C54D1.4.1	C54D1.4.1	180979		Q18822	alh-10	NP_509203	
WBGene00000117	F42G9.5a.1	F42G9.5a.1	185679		Q20352	alh-11	NP_001379575	
WBGene00000117	F42G9.5b.1	F42G9.5b.1	185679		Q8MNS6	alh-11	NP_001379575	
WBGene00000117	F42G9.5b.2	F42G9.5b.2	185679		Q8MNS6	alh-11	NP_001379575	
WBGene00000118	Y69F12A.2a.1	Y69F12A.2a.1	176056		Q7Z1Q3	alh-12	NP_001370775	
WBGene00000118	Y69F12A.2b.1	Y69F12A.2b.1	176056		Q7Z1Q2	alh-12	NP_001370775	
WBGene00000120	C01F6.5.1	C01F6.5.1	177735		Q17561	aly-1	NP_501588	
WBGene00000121	F23B2.6.1	F23B2.6.1	177738		O62183	aly-2	NP_501594	
WBGene00000122	M18.7a.1	M18.7a.1	178157		Q21559	aly-3	NP_001076697	
WBGene00000123	F36A4.7.1	F36A4.7.1	177190	P16356		ama-1	NP_500523	
WBGene00000133	C05E11.4.1	C05E11.4.1	180729	P54145		amt-1	NP_508784	
WBGene00000134	F49E11.3.1	F49E11.3.1	186047	Q20605		amt-2	NP_502496	
WBGene00000135	M195.3.1	M195.3.1	174338	Q21565		amt-3	NP_495761	
WBGene00000136	C05E11.5.1	C05E11.5.1	180728		Q17663	amt-4	NP_508783	
WBGene00000137	R13G10.2.1	R13G10.2.1	175493	Q21988		amx-1	NP_497772	
WBGene00000138	B0019.1.1	B0019.1.1	173146		Q9XXU5	amx-2	NP_001369790	
WBGene00000139	F25C8.2a.1	F25C8.2a.1	184919		E0AHD3	amx-3	NP_001256964	
WBGene00000139	F25C8.2b.1	F25C8.2b.1	184919		E0AHD4	amx-3	NP_001256964	
WBGene00000140	ZK973.6a.1	ZK973.6a.1	172034	Q9N4M4		anc-1	NP_001343707	
WBGene00000140	ZK973.6b.1	ZK973.6b.1	172034		A0A2C9C2Z1	anc-1	NP_001343707	
WBGene00000140	ZK973.6c.1	ZK973.6c.1	172034		A0A2C9C3A7	anc-1	NP_001343707	
WBGene00000142	C08B6.9.1	C08B6.9.1	179409	Q17820		aos-1	NP_505604	
WBGene00000143	K06H7.6.1	K06H7.6.1	176139	P34514		apc-2	NP_498762	
WBGene00000144	F15H10.3a.1	F15H10.3a.1	179454	H2L2B8		apc-10	NP_001256219	
WBGene00000144	F15H10.3b.1	F15H10.3b.1	179454	H2L2B8		apc-10	NP_001256219	
WBGene00000144	F15H10.3c.1	F15H10.3c.1	179454	H2L2B8		apc-10	NP_001256219	
WBGene00000144	F15H10.3d.1	F15H10.3d.1	179454	H2L2B8		apc-10	NP_001256219	
WBGene00000145	F35G12.9.1	F35G12.9.1	175604	Q20052		apc-11	NP_497937	
WBGene00000146	F46F3.4a.1	F46F3.4a.1	179601	Q9XVN3		ape-1	NP_001256356	
WBGene00000146	F46F3.4b.1	F46F3.4b.1	179601	Q9XVN3		ape-1	NP_001256356	
WBGene00000146	F46F3.4c.1	F46F3.4c.1	179601	Q9XVN3		ape-1	NP_001256356	
WBGene00000146	F46F3.4d.1	F46F3.4d.1	179601	Q9XVN3		ape-1	NP_001256356	
WBGene00000147	VF36H2L.1.1	VF36H2L.1.1	172747	O45876		aph-1	NP_492469	
WBGene00000148	ZC434.6a.1	ZC434.6a.1	172905		A5Z2T7	aph-2	NP_492712	
WBGene00000148	ZC434.6b.1	ZC434.6b.1	172905	Q23316		aph-2	NP_492712	
WBGene00000149	C42D8.8a.1	C42D8.8a.1	180783	Q10651		apl-1	NP_508871	
WBGene00000149	C42D8.8b.1	C42D8.8b.1	180783	Q10651		apl-1	NP_508871	
WBGene00000150	F55A12.7.1	F55A12.7.1	172180		O01755	apm-1	NP_491572	
WBGene00000151	T05H10.2.1	T05H10.2.1	174291	Q10002		apn-1	NP_495687	
WBGene00000155	W03G9.4.1	W03G9.4.1	172118	O44750		app-1	NP_491489	
WBGene00000156	K04G2.8a.1	K04G2.8a.1	172591	Q21227		apr-1	NP_001334202	
WBGene00000156	K04G2.8b.1	K04G2.8b.1	172591	Q21227		apr-1	NP_001334202	
WBGene00000156	K04G2.8c.1	K04G2.8c.1	172591		A0A1I6CM53	apr-1	NP_001334202	
WBGene00000157	F02E8.3.1	F02E8.3.1	184091		Q19123	aps-2	NP_508767	
WBGene00000158	Y105E8A.9.1	Y105E8A.9.1	173304		Q8WQB3	apg-1	NP_740937	
WBGene00000159	F29G9.3.1	F29G9.3.1	178989		O16369	aps-1	NP_001379652	
WBGene00000160	Y71H2B.10.1	Y71H2B.10.1	175376		Q9N4F3	apb-1	NP_001022937	
WBGene00000161	T20B5.1.1	T20B5.1.1	181163		Q22601	apa-2	NP_001370626	
WBGene00000162	W09G10.4a.1	W09G10.4a.1	173701		O16637	apd-3	NP_494571	
WBGene00000162	W09G10.4b.1	W09G10.4b.1	173701		Q95X88	apd-3	NP_494571	
WBGene00000163	R11A5.1a.1	R11A5.1a.1	172553		O45718	apb-3	NP_492171	
WBGene00000163	R11A5.1b.1	R11A5.1b.1	172553		O62348	apb-3	NP_492171	
WBGene00000164	F53H8.1.1	F53H8.1.1	186194		Q20736	apm-3	NP_508184	
WBGene00000165	Y48G8AL.14.1	Y48G8AL.14.1	171691		Q8T874	aps-3	NP_001380048	
WBGene00000166	W04G3.4.1	W04G3.4.1	189194		Q23165	apt-9	NP_509853	
WBGene00000168	K08D9.3a.1	K08D9.3a.1	178759	P41990		apx-1	NP_001360546	
WBGene00000168	K08D9.3e.1	K08D9.3e.1	178759		A0A0S4XRY4	apx-1	NP_001360546	
WBGene00000168	K08D9.3f.1	K08D9.3f.1	178759		A0A486WTV8	apx-1	NP_001360546	
WBGene00000169	F32A5.5a.1	F32A5.5a.1	174190		Q19949	aqp-1	NP_001367603	
WBGene00000169	F32A5.5b.1	F32A5.5b.1	174190		Q8IG23	aqp-1	NP_001367603	
WBGene00000170	C01G6.1a.1	C01G6.1a.1	174467		Q17571	aqp-2	NP_001366692	
WBGene00000170	C01G6.1b.1	C01G6.1b.1	174467		Q7JMQ6	aqp-2	NP_001366692	
WBGene00000170	C01G6.1b.2	C01G6.1b.2	174467		Q7JMQ6	aqp-2	NP_001366692	
WBGene00000171	Y69E1A.7a.1	Y69E1A.7a.1	190553		Q9XW36	aqp-3	NP_001309613	
WBGene00000171	Y69E1A.7b.1	Y69E1A.7b.1	190553		A0A061ADS9	aqp-3	NP_001309613	
WBGene00000171	Y69E1A.7c.1	Y69E1A.7c.1	190553		A0A131MBS2	aqp-3	NP_001309613	
WBGene00000172	F40F9.9.1	F40F9.9.1	179366		G5EEK0	aqp-4	NP_505512	
WBGene00000173	C35A5.1.1	C35A5.1.1	183221		Q18469	aqp-5	NP_505691	
WBGene00000174	C32C4.2a.1	C32C4.2a.1	183121		Q18352	aqp-6	NP_001256246	
WBGene00000174	C32C4.2b.1	C32C4.2b.1	183121		D5MCS1	aqp-6	NP_001256246	
WBGene00000174	C32C4.2c.1	C32C4.2c.1	183121		H2FLH4	aqp-6	NP_001256246	
WBGene00000175	M02F4.8a.1	M02F4.8a.1	180589		Q21473	aqp-7	NP_001379301	
WBGene00000175	M02F4.8a.2	M02F4.8a.2	180589		Q21473	aqp-7	NP_001379301	
WBGene00000175	M02F4.8b.1	M02F4.8b.1	180589		A0A6V7QYI0	aqp-7	NP_001379301	
WBGene00000176	K02G10.7a.1	K02G10.7a.1	180744		Q7Z138	aqp-8	NP_001348813	
WBGene00000176	K02G10.7b.1	K02G10.7b.1	180744		Q7Z137	aqp-8	NP_001348813	
WBGene00000176	K02G10.7b.2	K02G10.7b.2	180744		Q7Z137	aqp-8	NP_001348813	
WBGene00000176	K02G10.7c.1	K02G10.7c.1	180744		A0A2K5AU20	aqp-8	NP_001348813	
WBGene00000176	K02G10.7d.1	K02G10.7d.1	180744		A0A2K5AU16	aqp-8	NP_001348813	
WBGene00000177	K07A1.16a.1	K07A1.16a.1	3565336		Q7JL16	aqp-9	NP_001251149	
