Gene stable ID	Transcript stable ID	Protein stable ID	Gene name	UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID	RefSeq peptide ID
ENSRNOG00000013395	ENSRNOT00000018233	ENSRNOP00000018233	Pglyrp1		G3V7R2	NP_445825
ENSRNOG00000016906	ENSRNOT00000022879	ENSRNOP00000022879	Lipt2		D3Z9Z2	NP_001102387
ENSRNOG00000014903	ENSRNOT00000114879	ENSRNOP00000093987	Zfyve27			
ENSRNOG00000004753	ENSRNOT00000006329	ENSRNOP00000006329	Napb		F8WFM2	NP_001178895
ENSRNOG00000015499	ENSRNOT00000089433	ENSRNOP00000072425	Serinc4	A8WCG0		
ENSRNOG00000015691	ENSRNOT00000021001	ENSRNOP00000021001	Inka2		D4ACF3	NP_001101183
ENSRNOG00000070448	ENSRNOT00000115981	ENSRNOP00000085689				
ENSRNOG00000020317	ENSRNOT00000027539	ENSRNOP00000027539	Rab5if		Q5FVK9	NP_001013944
ENSRNOG00000014903	ENSRNOT00000107917	ENSRNOP00000094645	Zfyve27			
ENSRNOG00000015691	ENSRNOT00000115720	ENSRNOP00000096341	Inka2			
ENSRNOG00000065290	ENSRNOT00000045360	ENSRNOP00000051154	Olr220		D3ZZ28	NP_001000552
ENSRNOG00000016227	ENSRNOT00000107315	ENSRNOP00000079546	Glrx3			
ENSRNOG00000067171	ENSRNOT00000120310	ENSRNOP00000085258				
ENSRNOG00000021051	ENSRNOT00000028588	ENSRNOP00000028588	Cyth2	P63035	F1LSU6	NP_446363
ENSRNOG00000004753	ENSRNOT00000100069	ENSRNOP00000083784	Napb			
ENSRNOG00000016227	ENSRNOT00000083316	ENSRNOP00000073509	Glrx3		A0A0G2K5P8	
ENSRNOG00000016227	ENSRNOT00000109827	ENSRNOP00000091412	Glrx3			
ENSRNOG00000021051	ENSRNOT00000100389	ENSRNOP00000097083	Cyth2			
ENSRNOG00000070096	ENSRNOT00000042245	ENSRNOP00000044270	Olr20		D3ZX88	NP_001000118
ENSRNOG00000062311	ENSRNOT00000051533	ENSRNOP00000042246	Olr530		D4A8P0	NP_001001376
ENSRNOG00000010595	ENSRNOT00000042968	ENSRNOP00000051270	Rbm45		G3V9K8	NP_695218
ENSRNOG00000021051	ENSRNOT00000115939	ENSRNOP00000087507	Cyth2			
ENSRNOG00000009830	ENSRNOT00000013031	ENSRNOP00000013031	Fam204a		D4A037	NP_001100918
ENSRNOG00000069707	ENSRNOT00000092900	ENSRNOP00000097417				
ENSRNOG00000063184	ENSRNOT00000048699	ENSRNOP00000042655	Olr221		D4A8F8	NP_001000200
ENSRNOG00000067491	ENSRNOT00000101755	ENSRNOP00000076510				
ENSRNOG00000012742	ENSRNOT00000017019	ENSRNOP00000017019	Irx2		D3ZGA0	NP_001034594
ENSRNOG00000020337	ENSRNOT00000027581	ENSRNOP00000027581	Sla2		D3ZMV1	NP_001165589
ENSRNOG00000027582	ENSRNOT00000029587	ENSRNOP00000029334	Dpysl4		F1LNT0	NP_037065
ENSRNOG00000016408	ENSRNOT00000077375	ENSRNOP00000070270	Kirrel1		A0A0G2JXH3	
ENSRNOG00000070569	ENSRNOT00000104109	ENSRNOP00000092704	RGD1563562			
ENSRNOG00000065122	ENSRNOT00000115090	ENSRNOP00000088325	Hypk		F1M8A5	NP_001292192
ENSRNOG00000070655	ENSRNOT00000068048	ENSRNOP00000070364	Olr532		A0A0G2JXQ4	NP_001000563
ENSRNOG00000069837	ENSRNOT00000096350	ENSRNOP00000084883				
ENSRNOG00000063387	ENSRNOT00000117400	ENSRNOP00000085108	Olr310		M0R795	NP_001000765
ENSRNOG00000016408	ENSRNOT00000031743	ENSRNOP00000033900	Kirrel1	Q6X936		NP_997489
ENSRNOG00000008121	ENSRNOT00000010788	ENSRNOP00000010788	Slc13a1	Q07782		NP_113839
ENSRNOG00000063387	ENSRNOT00000120149	ENSRNOP00000083547	Olr310		M0R795	
ENSRNOG00000069837	ENSRNOT00000110036	ENSRNOP00000079833				
ENSRNOG00000064203	ENSRNOT00000096490	ENSRNOP00000083237	Olr825		F1MAA6	
ENSRNOG00000013790	ENSRNOT00000018489	ENSRNOP00000018489	Mfsd1		D3ZV75	NP_001178776
ENSRNOG00000008463	ENSRNOT00000087657	ENSRNOP00000069461	Rundc3b		A0A0G2JVF1	
ENSRNOG00000070996	ENSRNOT00000096496	ENSRNOP00000095328	Spred1		Q3C2P9	NP_001040554
ENSRNOG00000064203	ENSRNOT00000100879	ENSRNOP00000076365	Olr825			
ENSRNOG00000015184	ENSRNOT00000095258	ENSRNOP00000081757	Clic3			
ENSRNOG00000008121	ENSRNOT00000107805	ENSRNOP00000086866	Slc13a1			
ENSRNOG00000008463	ENSRNOT00000030224	ENSRNOP00000035622	Rundc3b	Q3B7K9		NP_001040581
ENSRNOG00000020893	ENSRNOT00000028389	ENSRNOP00000028389	Snx27		G3V8U4	NP_001103621
ENSRNOG00000020893	ENSRNOT00000028389	ENSRNOP00000028389	Snx27		G3V8U4	NP_690060
ENSRNOG00000070996	ENSRNOT00000112589	ENSRNOP00000086017	Spred1			
ENSRNOG00000013767	ENSRNOT00000018495	ENSRNOP00000018495	Ccdc61	A0JPP8		NP_001099699
ENSRNOG00000015184	ENSRNOT00000020497	ENSRNOP00000020497	Clic3		D3ZY91	NP_001013098
ENSRNOG00000030782	ENSRNOT00000043307	ENSRNOP00000043991	Olr283		F1LTK3	NP_001001010
ENSRNOG00000064203	ENSRNOT00000102685	ENSRNOP00000094223	Olr825		F1MAA6	NP_001000904
ENSRNOG00000069399	ENSRNOT00000100677	ENSRNOP00000094709				
ENSRNOG00000013790	ENSRNOT00000106348	ENSRNOP00000096455	Mfsd1			
ENSRNOG00000016421	ENSRNOT00000021971	ENSRNOP00000021971	Tyr		D4A9G4	NP_001101005
ENSRNOG00000070996	ENSRNOT00000116795	ENSRNOP00000080793	Spred1			
ENSRNOG00000019455	ENSRNOT00000112010	ENSRNOP00000087320	Ap4b1			NP_001101179
ENSRNOG00000065756	ENSRNOT00000021562	ENSRNOP00000021562	Mfap1a		D4ACM9	NP_001178893
ENSRNOG00000019455	ENSRNOT00000110237	ENSRNOP00000094687	Ap4b1			
ENSRNOG00000014726	ENSRNOT00000034610	ENSRNOP00000031354	Acsm4	Q7TN78		NP_859046
ENSRNOG00000004967	ENSRNOT00000097908	ENSRNOP00000083310	Snrpb2			
ENSRNOG00000019455	ENSRNOT00000026382	ENSRNOP00000026382	Ap4b1		D4AD35	
ENSRNOG00000018334	ENSRNOT00000024690	ENSRNOP00000024690	Ctu1	B1WBV0		NP_001099721
ENSRNOG00000019455	ENSRNOT00000112580	ENSRNOP00000085168	Ap4b1			
ENSRNOG00000023407	ENSRNOT00000110261	ENSRNOP00000092978	Mrpl36			NP_001102349
ENSRNOG00000004967	ENSRNOT00000006900	ENSRNOP00000006900	Snrpb2		B5DEQ4	NP_001102062
ENSRNOG00000061890	ENSRNOT00000051289	ENSRNOP00000039430	Ust5r		Q4KM07	NP_599207
ENSRNOG00000030825	ENSRNOT00000045231	ENSRNOP00000042330	Olr533		D4A4N0	NP_001000673
ENSRNOG00000063357	ENSRNOT00000103280	ENSRNOP00000083325				
ENSRNOG00000067027	ENSRNOT00000104840	ENSRNOP00000084917				
ENSRNOG00000023407	ENSRNOT00000029531	ENSRNOP00000032662	Mrpl36	B2RZ39		
ENSRNOG00000014617	ENSRNOT00000099476	ENSRNOP00000077475	Tgoln2			
ENSRNOG00000017366	ENSRNOT00000023325	ENSRNOP00000023325	Olr192		D4A7H3	NP_001000549
ENSRNOG00000010529	ENSRNOT00000014552	ENSRNOP00000014552	Thbs2		D4A2G6	NP_001162609
ENSRNOG00000065221	ENSRNOT00000110965	ENSRNOP00000083297	Amy2a3			NP_113690
ENSRNOG00000012684	ENSRNOT00000111604	ENSRNOP00000080965	Bloc1s2			NP_001032426
ENSRNOG00000023407	ENSRNOT00000072992	ENSRNOP00000067146	Mrpl36	B2RZ39		
ENSRNOG00000032699	ENSRNOT00000068459	ENSRNOP00000062088	Ttyh1	P0C5X8	B4F773	NP_001099695
ENSRNOG00000018408	ENSRNOT00000024829	ENSRNOP00000024829	RGD1307554	A0JPQ7		NP_001103134
ENSRNOG00000019416	ENSRNOT00000088431	ENSRNOP00000073100			A0A0G2K4M5	
ENSRNOG00000007608	ENSRNOT00000010019	ENSRNOP00000010019	Fezf1		D3ZPD6	NP_001102694
ENSRNOG00000008980	ENSRNOT00000012086	ENSRNOP00000012086	Rbm48	Q561R3		NP_001019417
ENSRNOG00000019416	ENSRNOT00000110811	ENSRNOP00000087905				
ENSRNOG00000018408	ENSRNOT00000077968	ENSRNOP00000069464	RGD1307554		A0A0G2JVF4	
ENSRNOG00000032699	ENSRNOT00000106376	ENSRNOP00000077750	Ttyh1			
ENSRNOG00000056110	ENSRNOT00000084704	ENSRNOP00000071742	Olr500		A0A0G2K186	NP_001000680
ENSRNOG00000014617	ENSRNOT00000019713	ENSRNOP00000019713	Tgoln2	P19814		NP_620195
ENSRNOG00000061890	ENSRNOT00000050010	ENSRNOP00000047683	Ust5r		G3V9H5	
ENSRNOG00000070161	ENSRNOT00000090675	ENSRNOP00000068801			A0A0G2JTQ4	
ENSRNOG00000028721	ENSRNOT00000034252	ENSRNOP00000033828	Otor		D4A1F5	NP_001102430
ENSRNOG00000015294	ENSRNOT00000020806	ENSRNOP00000020806	Paxx		A0A0G2QC22	NP_001100026
ENSRNOG00000019416	ENSRNOT00000115645	ENSRNOP00000085711				NP_001017512
ENSRNOG00000066101	ENSRNOT00000098342	ENSRNOP00000084793	Gm9999		A0A0G2K5W0	
ENSRNOG00000013074	ENSRNOT00000099117	ENSRNOP00000078611	Wt1			NP_113722
ENSRNOG00000014617	ENSRNOT00000115005	ENSRNOP00000096733	Tgoln2			
ENSRNOG00000015294	ENSRNOT00000113013	ENSRNOP00000084756	Paxx			
ENSRNOG00000036631	ENSRNOT00000054808	ENSRNOP00000066082	Ptgdr2	Q6XKD3		NP_001012070
ENSRNOG00000027016	ENSRNOT00000001607	ENSRNOP00000001607	Cobll1		F1M124	
ENSRNOG00000032699	ENSRNOT00000103317	ENSRNOP00000090077	Ttyh1			
ENSRNOG00000014617	ENSRNOT00000117115	ENSRNOP00000083644	Tgoln2			
ENSRNOG00000027016	ENSRNOT00000104492	ENSRNOP00000078543	Cobll1			
ENSRNOG00000067771	ENSRNOT00000094067	ENSRNOP00000095400				
ENSRNOG00000013074	ENSRNOT00000067940	ENSRNOP00000060038	Wt1		D3ZJ55	
ENSRNOG00000063217	ENSRNOT00000101208	ENSRNOP00000095629	Rrlt			NP_001155163
ENSRNOG00000069390	ENSRNOT00000100023	ENSRNOP00000092571				
ENSRNOG00000063736	ENSRNOT00000097086	ENSRNOP00000097593				
ENSRNOG00000009468	ENSRNOT00000012831	ENSRNOP00000012832	Il12a		G3V780	NP_445842
ENSRNOG00000061890	ENSRNOT00000077408	ENSRNOP00000072241	Ust5r		Q498U8	
ENSRNOG00000016659	ENSRNOT00000044183	ENSRNOP00000045891	Habp2		F1M8H8	NP_001001505
ENSRNOG00000047406	ENSRNOT00000071842	ENSRNOP00000064743	RGD1308544		M0R5R5	
ENSRNOG00000019416	ENSRNOT00000105628	ENSRNOP00000095401				
ENSRNOG00000063217	ENSRNOT00000111264	ENSRNOP00000089574	Rrlt			
ENSRNOG00000014946	ENSRNOT00000020077	ENSRNOP00000020077	Thumpd1		F7FA68	NP_001009688
ENSRNOG00000014946	ENSRNOT00000020077	ENSRNOP00000020077	Thumpd1		Q5M943	NP_001009688
ENSRNOG00000009135	ENSRNOT00000068499	ENSRNOP00000060110	1700109H08Rik		F1LX06	
ENSRNOG00000067778	ENSRNOT00000040055	ENSRNOP00000040660	Olr514		D4AD42	NP_001000314
ENSRNOG00000009468	ENSRNOT00000100522	ENSRNOP00000080028	Il12a			
ENSRNOG00000031110	ENSRNOT00000043023	ENSRNOP00000043540	Olr53		D3ZGN9	NP_001001008
ENSRNOG00000014946	ENSRNOT00000084389	ENSRNOP00000070986	Thumpd1		A0A0G2JZB6	
ENSRNOG00000013074	ENSRNOT00000102019	ENSRNOP00000086555	Wt1			
ENSRNOG00000012684	ENSRNOT00000090755	ENSRNOP00000068679	Bloc1s2		A0SXU1	
ENSRNOG00000067832	ENSRNOT00000103439	ENSRNOP00000091566				
ENSRNOG00000019416	ENSRNOT00000026252	ENSRNOP00000026252			F1M975	
ENSRNOG00000016659	ENSRNOT00000022382	ENSRNOP00000022382	Habp2		A2VD04	
ENSRNOG00000016597	ENSRNOT00000022226	ENSRNOP00000084413	AABR07006081.1			
ENSRNOG00000020318	ENSRNOT00000083551	ENSRNOP00000069099	Pnkp		A0A0G2JUH4	NP_001004259
ENSRNOG00000022491	ENSRNOT00000109502	ENSRNOP00000097696	Wdr76			
ENSRNOG00000010628	ENSRNOT00000114125	ENSRNOP00000077650	Sec13			NP_001006979
ENSRNOG00000012684	ENSRNOT00000017006	ENSRNOP00000017006	Bloc1s2	Q32WR5		
ENSRNOG00000020318	ENSRNOT00000116508	ENSRNOP00000093468	Pnkp			
ENSRNOG00000022491	ENSRNOT00000036209	ENSRNOP00000034184	Wdr76		D3ZJT1	
ENSRNOG00000062564	ENSRNOT00000114512	ENSRNOP00000091033				
ENSRNOG00000010628	ENSRNOT00000106299	ENSRNOP00000091682	Sec13			
ENSRNOG00000068976	ENSRNOT00000098724	ENSRNOP00000086604				
ENSRNOG00000028095	ENSRNOT00000029655	ENSRNOP00000033421	Lcn6		Q6KGV4	NP_001001519
ENSRNOG00000051199	ENSRNOT00000076015	ENSRNOP00000068297	Fsip2		A0A096MJX4	
ENSRNOG00000020318	ENSRNOT00000051640	ENSRNOP00000039388	Pnkp		Q6AXV0	
ENSRNOG00000010628	ENSRNOT00000014377	ENSRNOP00000014377	Sec13	Q5XFW8		
ENSRNOG00000018940	ENSRNOT00000077441	ENSRNOP00000070095	Slc28a1		F1LNH7	
ENSRNOG00000031947	ENSRNOT00000045531	ENSRNOP00000044605	AABR07071986.1		D3ZZ95	
ENSRNOG00000067832	ENSRNOT00000097704	ENSRNOP00000097484				
ENSRNOG00000051199	ENSRNOT00000089165	ENSRNOP00000072155	Fsip2		A0A0G2K296	
ENSRNOG00000016565	ENSRNOT00000022193	ENSRNOP00000069116			A0A0G2JUJ1	
ENSRNOG00000033706	ENSRNOT00000029197	ENSRNOP00000032634	Klk14		F1M091	
ENSRNOG00000065362	ENSRNOT00000072310	ENSRNOP00000065534	Olr443		M0R7U8	NP_001000285
ENSRNOG00000061455	ENSRNOT00000075730	ENSRNOP00000073751	Olr354		A0A0G2K6B8	NP_001001045
ENSRNOG00000018940	ENSRNOT00000025621	ENSRNOP00000025621	Slc28a1		F1LNH7	NP_446315
ENSRNOG00000013945	ENSRNOT00000018696	ENSRNOP00000018696	Itpkc	Q80ZG2		
ENSRNOG00000015424	ENSRNOT00000020678	ENSRNOP00000020678	Olr51		D3ZZ77	NP_001001021
ENSRNOG00000018953	ENSRNOT00000025829	ENSRNOP00000025829	Cblc	G3V8H4		NP_001030092
ENSRNOG00000014385	ENSRNOT00000115886	ENSRNOP00000087654	Wnt2b			
ENSRNOG00000000096	ENSRNOT00000000107	ENSRNOP00000000107	Pdzk1	Q9JJ40		NP_113900
ENSRNOG00000019138	ENSRNOT00000025949	ENSRNOP00000025949	Clec11a	O88201		NP_001012477
ENSRNOG00000009172	ENSRNOT00000012196	ENSRNOP00000012196	Cpvl	Q4QR71		NP_001025098
ENSRNOG00000013198	ENSRNOT00000017615	ENSRNOP00000017615	Olr377		D3ZCH0	NP_001001276
ENSRNOG00000013945	ENSRNOT00000100648	ENSRNOP00000084385	Itpkc			NP_835195
ENSRNOG00000021695	ENSRNOT00000097887	ENSRNOP00000079900	Hyal6			
ENSRNOG00000068014	ENSRNOT00000112389	ENSRNOP00000094533				
ENSRNOG00000011135	ENSRNOT00000119389	ENSRNOP00000093700	Gtf2b			NP_112303
ENSRNOG00000014385	ENSRNOT00000019349	ENSRNOP00000019349	Wnt2b		G3V7U3	NP_001178777
ENSRNOG00000050445	ENSRNOT00000073233	ENSRNOP00000064735	Gde1		M0R5Q9	NP_116004
ENSRNOG00000018953	ENSRNOT00000110504	ENSRNOP00000095345	Cblc			
ENSRNOG00000019138	ENSRNOT00000113316	ENSRNOP00000087157	Clec11a			
ENSRNOG00000009172	ENSRNOT00000085812	ENSRNOP00000070651	Cpvl	Q4QR71		
ENSRNOG00000021695	ENSRNOT00000009435	ENSRNOP00000009405	Hyal6		Q66H49	NP_001019491
ENSRNOG00000053559	ENSRNOT00000073539	ENSRNOP00000072749	Olr357		A0A0G2K3R9	NP_001000257
ENSRNOG00000065649	ENSRNOT00000026263	ENSRNOP00000026264			F1M973	
ENSRNOG00000018953	ENSRNOT00000092048	ENSRNOP00000070090	Cblc	G3V8H4		
ENSRNOG00000067357	ENSRNOT00000091920	ENSRNOP00000075423	Olr444		D4A4D2	NP_001001123
ENSRNOG00000006731	ENSRNOT00000008837	ENSRNOP00000008837	Spc25	Q5M856		NP_001009654
ENSRNOG00000011135	ENSRNOT00000015032	ENSRNOP00000015033	Gtf2b		A0A0A0MXW7	
ENSRNOG00000022511	ENSRNOT00000082912	ENSRNOP00000073694	tGap1		A0A0G2K665	
ENSRNOG00000050663	ENSRNOT00000075021	ENSRNOP00000090128	Or51h5			
ENSRNOG00000064423	ENSRNOT00000094414	ENSRNOP00000097303				
ENSRNOG00000011135	ENSRNOT00000089648	ENSRNOP00000070077	Gtf2b		A0A0G2JWZ8	
ENSRNOG00000065021	ENSRNOT00000109115	ENSRNOP00000085361	Naaladl2			
ENSRNOG00000022511	ENSRNOT00000033404	ENSRNOP00000032200	tGap1		G3V905	NP_001007636
ENSRNOG00000016574	ENSRNOT00000103335	ENSRNOP00000080675	Fiz1			
ENSRNOG00000064423	ENSRNOT00000104569	ENSRNOP00000081082				
ENSRNOG00000062826	ENSRNOT00000111037	ENSRNOP00000088212	Gm17651			
ENSRNOG00000016574	ENSRNOT00000022236	ENSRNOP00000022236	Fiz1		D3ZP93	NP_001099693
ENSRNOG00000064423	ENSRNOT00000096107	ENSRNOP00000090320				
ENSRNOG00000065021	ENSRNOT00000100268	ENSRNOP00000090842	Naaladl2			
ENSRNOG00000014753	ENSRNOT00000106765	ENSRNOP00000081559	Tcf7l1			
ENSRNOG00000032137	ENSRNOT00000052350	ENSRNOP00000074236	Foxb2		A0A0G2K7J9	NP_001162056
ENSRNOG00000014753	ENSRNOT00000020005	ENSRNOP00000020005	Tcf7l1		F1M1R9	NP_001101335
ENSRNOG00000065021	ENSRNOT00000110598	ENSRNOP00000083736	Naaladl2			
ENSRNOG00000055608	ENSRNOT00000088746	ENSRNOP00000069795			A0A0G2JW96	
ENSRNOG00000048436	ENSRNOT00000072815	ENSRNOP00000066616	Olfr574		M0RAR1	
ENSRNOG00000052014	ENSRNOT00000090000	ENSRNOP00000073058	Olr510		A0A0G2K4I6	NP_001000312
ENSRNOG00000008282	ENSRNOT00000011035	ENSRNOP00000011035	Elf5		D4A3N9	
ENSRNOG00000068222	ENSRNOT00000102968	ENSRNOP00000090719				
ENSRNOG00000011758	ENSRNOT00000112234	ENSRNOP00000091197	Fkbp7			NP_001099955
ENSRNOG00000061525	ENSRNOT00000049057	ENSRNOP00000045673	RGD1562011		F1M8N1	
ENSRNOG00000011052	ENSRNOT00000014780	ENSRNOP00000014780	Gars	Q5I0G4		NP_001258068
ENSRNOG00000008282	ENSRNOT00000095913	ENSRNOP00000087846	Elf5			NP_001102426
ENSRNOG00000016837	ENSRNOT00000022895	ENSRNOP00000022895	Ckm		A0A0G2JSP8	NP_036662
ENSRNOG00000034083	ENSRNOT00000051894	ENSRNOP00000041128	Olr67		F1LXE2	NP_001001279
ENSRNOG00000011758	ENSRNOT00000015722	ENSRNOP00000015722	Fkbp7		D3Z9M5	
ENSRNOG00000013641	ENSRNOT00000019053	ENSRNOP00000019053	Myo7a		Q8CJE3	NP_703203
ENSRNOG00000016608	ENSRNOT00000022349	ENSRNOP00000022349	Zfp579		B1WBW3	NP_001119748
ENSRNOG00000015821	ENSRNOT00000021268	ENSRNOP00000021268	Cd2	P08921		NP_036962
ENSRNOG00000011758	ENSRNOT00000108707	ENSRNOP00000086609	Fkbp7			
ENSRNOG00000020347	ENSRNOT00000027575	ENSRNOP00000027575	Nup98	P49793		NP_112336
ENSRNOG00000004679	ENSRNOT00000107158	ENSRNOP00000081312	Fign			
ENSRNOG00000025953	ENSRNOT00000039453	ENSRNOP00000035488			D4A2P4	
ENSRNOG00000037833	ENSRNOT00000057478	ENSRNOP00000054288	Olr563		D4A847	NP_001000666
ENSRNOG00000009792	ENSRNOT00000081423	ENSRNOP00000072719	Zbbx		A0A0G2K3P2	
ENSRNOG00000027112	ENSRNOT00000027745	ENSRNOP00000027745	MGC114499		Q4V8D0	NP_001020078
ENSRNOG00000004679	ENSRNOT00000006175	ENSRNOP00000006175	Fign		D3ZYS4	NP_001099954
ENSRNOG00000025953	ENSRNOT00000114359	ENSRNOP00000092106				
ENSRNOG00000020347	ENSRNOT00000117464	ENSRNOP00000094157	Nup98			
ENSRNOG00000013641	ENSRNOT00000103282	ENSRNOP00000083122	Myo7a			
ENSRNOG00000063952	ENSRNOT00000017572	ENSRNOP00000017572	Olr372		D3ZE76	NP_001001048
ENSRNOG00000063054	ENSRNOT00000097129	ENSRNOP00000080780	Vom1r51		Q5J3E0	
ENSRNOG00000016362	ENSRNOT00000021893	ENSRNOP00000021894	Gpr4	Q4KLH9		NP_001020851
ENSRNOG00000009792	ENSRNOT00000095617	ENSRNOP00000093635	Zbbx			NP_001025093
ENSRNOG00000026055	ENSRNOT00000016182	ENSRNOP00000016182	Neurod6		B5DEY7	NP_001102707
ENSRNOG00000018117	ENSRNOT00000117561	ENSRNOP00000094762	Ndufv1			NP_001006973
ENSRNOG00000013671	ENSRNOT00000029537	ENSRNOP00000032849	Vom2r9		D3ZJ30	NP_001092935
ENSRNOG00000010616	ENSRNOT00000109881	ENSRNOP00000084724	Ndor1			
ENSRNOG00000017307	ENSRNOT00000095166	ENSRNOP00000084133	Prss23			NP_001007692
ENSRNOG00000020347	ENSRNOT00000027590	ENSRNOP00000027590	Nup98		F1LPQ1	
ENSRNOG00000017307	ENSRNOT00000080927	ENSRNOP00000068962	Prss23		A0A0G2JU46	
ENSRNOG00000009792	ENSRNOT00000013111	ENSRNOP00000013111	Zbbx		Q4QR78	
ENSRNOG00000022837	ENSRNOT00000061342	ENSRNOP00000058058	Slc25a40	Q498U3		NP_001032263
ENSRNOG00000015649	ENSRNOT00000020953	ENSRNOP00000020952	Olr68		D3ZID6	NP_001000133
ENSRNOG00000017307	ENSRNOT00000023239	ENSRNOP00000023239	Prss23	Q6AY61		
ENSRNOG00000018117	ENSRNOT00000024517	ENSRNOP00000024517	Ndufv1		Q5XIH3	
ENSRNOG00000010616	ENSRNOT00000014445	ENSRNOP00000014445	Ndor1		D4ABT4	NP_001101288
