Gene stable ID	Transcript stable ID	Protein stable ID	Gene name	UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID	RefSeq peptide ID
WBGene00000047	ZC504.2.1	ZC504.2.1	acr-8		Q23355	NP_001361818
WBGene00000047	ZC504.2.2	ZC504.2.2	acr-8		Q23355	NP_001361818
WBGene00000048	C40C9.2.1	C40C9.2.1	acr-9		Q18556	NP_510285
WBGene00000049	R02E12.8.1	R02E12.8.1	acr-10		Q21645	NP_508692
WBGene00000050	D2092.3.1	D2092.3.1	acr-11		P91197	NP_491906
WBGene00000051	R01E6.4a.1	R01E6.4a.1	acr-12		G5EDF1	NP_510262
WBGene00000051	R01E6.4b.1	R01E6.4b.1	acr-12		A0A0K3ATC5	NP_001300370
WBGene00000053	T05C12.2.1	T05C12.2.1	acr-14		Q22224	NP_495716
WBGene00000054	F25G6.4.1	F25G6.4.1	acr-15		O16926	NP_505206
WBGene00000055	F25G6.3.1	F25G6.3.1	acr-16	P48180		NP_505207
WBGene00000056	F53E10.2b.1	F53E10.2b.1	acr-17		Q6F6K3	NP_001023961
WBGene00000056	F53E10.2g.1	F53E10.2g.1	acr-17		A0A0M7RFG1	NP_001303731
WBGene00000056	F53E10.2h.1	F53E10.2h.1	acr-17		A0A0M7RDU0	NP_001303732
WBGene00000056	F53E10.2i.1	F53E10.2i.1	acr-17		A0A0M7REC3	NP_001303733
WBGene00000057	F28F8.1.1	F28F8.1.1	acr-18		G5EG72	NP_506868
WBGene00000058	C31H5.3a.1	C31H5.3a.1	acr-19		G5EGB5	NP_492429
WBGene00000058	C31H5.3b.1	C31H5.3b.1	acr-19		B3WFZ2	NP_001129756
WBGene00000059	R06A4.10a.1	R06A4.10a.1	acr-20		Q9U398	NP_001366936
WBGene00000059	R06A4.10b.1	R06A4.10b.1	acr-20		Q7JKI4	NP_001022273
WBGene00000059	R06A4.10c.1	R06A4.10c.1	acr-20		B1Q281	NP_001367183
WBGene00000060	F27B3.2a.1	F27B3.2a.1	acr-21		A0A3P6P985	NP_001355512
WBGene00000060	F27B3.2b.1	F27B3.2b.1	acr-21		A0A3P6NP92	NP_001355513
WBGene00000060	F27B3.2c.1	F27B3.2c.1	acr-21		A0A3P6MY71	NP_001355514
WBGene00000060	F27B3.2d.1	F27B3.2d.1	acr-21		A0A3P6N6F5	NP_001355515
WBGene00000061	F48E3.7.1	F48E3.7.1	lgc-11		G5EGR1	NP_509270
WBGene00000062	F59B1.9a.1	F59B1.9a.1	acr-23	G5EG88		NP_504024
WBGene00000062	F59B1.9b.1	F59B1.9b.1	acr-23		A0A168H5T6	NP_001317822
WBGene00000063	T04C12.6.1	T04C12.6.1	act-1	P0DM41		NP_505819
WBGene00000064	T04C12.5.1	T04C12.5.1	act-2	P10984		NP_001370033
WBGene00000065	T04C12.4.1	T04C12.4.1	act-3	P0DM42		NP_001366892
WBGene00000065	T04C12.4.2	T04C12.4.2	act-3	P0DM42		NP_001366892
WBGene00000065	T04C12.4.3	T04C12.4.3	act-3	P0DM42		NP_001366892
WBGene00000066	M03F4.2a.1	M03F4.2a.1	act-4	P10986		NP_508841
WBGene00000066	M03F4.2b.1	M03F4.2b.1	act-4		Q95ZL1	NP_001368079
WBGene00000067	T25C8.2.1	T25C8.2.1	act-5		O45815	NP_499809
WBGene00000068	F17C8.1.1	F17C8.1.1	acy-1		Q19523	NP_497970
WBGene00000069	C10F3.3.1	C10F3.3.1	acy-2		O16880	NP_504553
WBGene00000070	C44F1.5.1	C44F1.5.1	acy-3		G5EE33	NP_497765
WBGene00000071	T01C2.1.1	T01C2.1.1	acy-4		Q966F9	NP_504486
WBGene00000072	F39C12.2a.1	F39C12.2a.1	add-1	Q9U9K0		NP_001024639
WBGene00000072	F39C12.2b.1	F39C12.2b.1	add-1	Q9U9K0		NP_001024640
WBGene00000072	F39C12.2c.1	F39C12.2c.1	add-1	Q9U9K0		NP_001024641
WBGene00000072	F39C12.2d.1	F39C12.2d.1	add-1	Q9U9K0		NP_001024642
WBGene00000072	F39C12.2e.1	F39C12.2e.1	add-1		G8JYB0	NP_001367832
WBGene00000073	F57F5.4a.1	F57F5.4a.1	add-2	Q20952		NP_001041130
WBGene00000073	F57F5.4b.1	F57F5.4b.1	add-2		Q1ZXU2	NP_001041131
WBGene00000074	C04A11.4a.1	C04A11.4a.1	adm-2		G5EDW5	NP_510291
WBGene00000074	C04A11.4b.1	C04A11.4b.1	adm-2		A0A3B1E9Z5	NP_001355451
WBGene00000075	ZK154.7.1	ZK154.7.1	adm-4	Q94316		NP_509318
WBGene00000079	H15N14.1c.1	H15N14.1c.1	adr-1	Q9U3D6		NP_492153
WBGene00000079	H15N14.1d.1	H15N14.1d.1	adr-1	Q9U3D6		NP_492154
WBGene00000079	H15N14.1e.1	H15N14.1e.1	adr-1	Q9U3D6		NP_871801
WBGene00000079	H15N14.1f.1	H15N14.1f.1	adr-1	Q9U3D6		NP_001379329
WBGene00000079	H15N14.1g.1	H15N14.1g.1	adr-1	Q9U3D6		NP_871803
WBGene00000080	T20H4.4.1	T20H4.4.1	adr-2	Q22618		NP_498594
WBGene00000081	Y50D7A.7.1	Y50D7A.7.1	ads-1	O45218		NP_497185
WBGene00000082	C02B4.1a.1	C02B4.1a.1	adt-1	G5ECS8		NP_510116
WBGene00000082	C02B4.1b.1	C02B4.1b.1	adt-1		Q22580	NP_001361951
WBGene00000083	F08C6.1a.1	F08C6.1a.1	adt-2	Q19204		NP_001024532
WBGene00000083	F08C6.1b.1	F08C6.1b.1	adt-2		Q7Z292	NP_001367660
WBGene00000083	F08C6.1c.1	F08C6.1c.1	adt-2		Q7Z291	NP_001361970
WBGene00000084	D2030.10a.1	D2030.10a.1	aex-1	G5EEU3		NP_740891
WBGene00000084	D2030.10b.1	D2030.10b.1	aex-1		G5ECE1	NP_001021074
WBGene00000085	T14B1.2.1	T14B1.2.1	aex-2	G5ECD9		NP_509626
WBGene00000086	C02H7.3a.1	C02H7.3a.1	aex-3	O02626		NP_741710
WBGene00000086	C02H7.3b.1	C02H7.3b.1	aex-3	O02626		NP_001024342
WBGene00000088	F32A7.6.1	F32A7.6.1	aex-5	P91863		NP_493594
WBGene00000089	Y87G2A.4.1	Y87G2A.4.1	aex-6		G5EBS5	NP_493376
WBGene00000090	B0334.8a.1	B0334.8a.1	age-1	Q94125		NP_496462
WBGene00000090	B0334.8b.1	B0334.8b.1	age-1	Q94125		NP_001300488
WBGene00000092	F32A6.4a.1	F32A6.4a.1	ags-3		Q19955	NP_741787
WBGene00000092	F32A6.4a.2	F32A6.4a.2	ags-3		Q19955	NP_741787
WBGene00000092	F32A6.4d.1	F32A6.4d.1	ags-3		A0A131MD77	NP_001309689
WBGene00000092	F32A6.4e.1	F32A6.4e.1	ags-3		A0A131MBW5	NP_001309690
WBGene00000092	F32A6.4f.1	F32A6.4f.1	ags-3		A0A131MBC1	NP_001370955
WBGene00000092	F32A6.4f.2	F32A6.4f.2	ags-3		A0A131MBC1	NP_001370955
WBGene00000092	F32A6.4f.3	F32A6.4f.3	ags-3		A0A131MBC1	NP_001370955
WBGene00000092	F32A6.4f.4	F32A6.4f.4	ags-3		A0A131MBC1	NP_001370955
WBGene00000092	F32A6.4f.5	F32A6.4f.5	ags-3		A0A131MBC1	NP_001370955
WBGene00000092	F32A6.4g.1	F32A6.4g.1	ags-3		A0A131MBA1	NP_001309692
WBGene00000093	Y62E10A.5a.1	Y62E10A.5a.1	agt-1		Q9U1Y0	NP_001041054
WBGene00000093	Y62E10A.5b.1	Y62E10A.5b.1	agt-1		Q2HQK2	NP_001041055
WBGene00000094	F09E5.13.1	F09E5.13.1	agt-2		Q19263	NP_495008
WBGene00000095	C25A1.11.1	C25A1.11.1	aha-1	O02219		NP_001251327
WBGene00000096	C41G7.5a.1	C41G7.5a.1	ahr-1	O44712		NP_001021036
WBGene00000096	C41G7.5b.1	C41G7.5b.1	ahr-1	O44712		NP_001021037
WBGene00000097	F58E10.4.1	F58E10.4.1	aip-1		Q9XUW8	NP_506479
WBGene00000098	K07C11.2.1	K07C11.2.1	air-1		G5EDL3	NP_505119
WBGene00000099	B0207.4.1	B0207.4.1	air-2	O01427		NP_491714
WBGene00000099	B0207.4.2	B0207.4.2	air-2	O01427		NP_491714
WBGene00000100	C25A11.4a.1	C25A11.4a.1	ajm-1	A0A1C3NSL9		NP_001367381
WBGene00000100	C25A11.4a.2	C25A11.4a.2	ajm-1	A0A1C3NSL9		NP_001367381
WBGene00000100	C25A11.4a.3	C25A11.4a.3	ajm-1	A0A1C3NSL9		NP_001367381
WBGene00000100	C25A11.4a.4	C25A11.4a.4	ajm-1	A0A1C3NSL9		NP_001367381
WBGene00000100	C25A11.4b.1	C25A11.4b.1	ajm-1		H2KYC5	NP_001367382
WBGene00000100	C25A11.4c.1	C25A11.4c.1	ajm-1		Q95ZY7	NP_001317734
WBGene00000100	C25A11.4d.1	C25A11.4d.1	ajm-1	A0A1C3NSL9		NP_001367383
WBGene00000100	C25A11.4e.1	C25A11.4e.1	ajm-1	A0A1C3NSL9		NP_001317736
WBGene00000100	C25A11.4f.1	C25A11.4f.1	ajm-1	A0A1C3NSL9		NP_001368606
WBGene00000100	C25A11.4g.1	C25A11.4g.1	ajm-1	A0A1C3NSL9		NP_001317888
WBGene00000100	C25A11.4h.1	C25A11.4h.1	ajm-1	A0A1C3NSL9		NP_001317897
WBGene00000100	C25A11.4i.1	C25A11.4i.1	ajm-1	A0A1C3NSL9		NP_001317898
WBGene00000100	C25A11.4j.1	C25A11.4j.1	ajm-1	A0A1C3NSL9		NP_001317899
WBGene00000100	C25A11.4k.1	C25A11.4k.1	ajm-1	A0A1C3NSL9		NP_001317889
WBGene00000100	C25A11.4l.1	C25A11.4l.1	ajm-1	A0A1C3NSL9		NP_001317890
WBGene00000100	C25A11.4m.1	C25A11.4m.1	ajm-1	A0A1C3NSL9		NP_001317891
WBGene00000101	D1022.7a.1	D1022.7a.1	aka-1		Q18930	NP_001022045
WBGene00000101	D1022.7b.1	D1022.7b.1	aka-1		H2KZI9	NP_495565
WBGene00000101	D1022.7c.1	D1022.7c.1	aka-1		Q8MQ92	NP_001379841
WBGene00000102	C12D8.10a.1	C12D8.10a.1	akt-1	Q17941		NP_001023645
WBGene00000102	C12D8.10b.1	C12D8.10b.1	akt-1	Q17941		NP_001023646
WBGene00000102	C12D8.10c.1	C12D8.10c.1	akt-1	Q17941		NP_001023647
WBGene00000103	F28H6.1a.1	F28H6.1a.1	akt-2	Q9XTG7		NP_510357
WBGene00000103	F28H6.1b.1	F28H6.1b.1	akt-2	Q9XTG7		NP_001024612
WBGene00000105	F48F7.1a.1	F48F7.1a.1	alg-1		G5EGR6	NP_001379113
WBGene00000105	F48F7.1a.2	F48F7.1a.2	alg-1		G5EGR6	NP_001379113
WBGene00000105	F48F7.1a.3	F48F7.1a.3	alg-1		G5EGR6	NP_001379113
WBGene00000105	F48F7.1b.1	F48F7.1b.1	alg-1		G5EES3	NP_001367206
WBGene00000106	T07D3.7a.1	T07D3.7a.1	alg-2		O16720	NP_871992
WBGene00000106	T07D3.7b.1	T07D3.7b.1	alg-2		Q86B39	NP_493837
WBGene00000107	F54D8.3a.1	F54D8.3a.1	alh-1		Q20780	NP_498081
WBGene00000107	F54D8.3b.1	F54D8.3b.1	alh-1		Q8IG19	NP_001379805
WBGene00000107	F54D8.3b.2	F54D8.3b.2	alh-1		Q8IG19	NP_001379805
WBGene00000108	K04F1.15.1	K04F1.15.1	alh-2		Q9TXM0	NP_503467
WBGene00000109	F36H1.6.1	F36H1.6.1	alh-3		G5ECV9	NP_502054
WBGene00000110	T05H4.13a.1	T05H4.13a.1	alh-4		O16518	NP_741553
WBGene00000110	T05H4.13b.1	T05H4.13b.1	alh-4		Q8MXJ7	NP_741554
WBGene00000110	T05H4.13c.1	T05H4.13c.1	alh-4		Q86S57	NP_504634
WBGene00000110	T05H4.13d.1	T05H4.13d.1	alh-4		A0A486WWU7	NP_001360568
WBGene00000111	T08B1.3.1	T08B1.3.1	alh-5		O44555	NP_503545
WBGene00000112	F56D12.1a.1	F56D12.1a.1	alh-6		G5EC31	NP_493946
WBGene00000112	F56D12.1a.2	F56D12.1a.2	alh-6		G5EC31	NP_493946
WBGene00000112	F56D12.1b.1	F56D12.1b.1	alh-6		Q86N72	NP_871951
WBGene00000112	F56D12.1c.1	F56D12.1c.1	alh-6		Q6A593	NP_001022212
WBGene00000112	F56D12.1d.1	F56D12.1d.1	alh-6		G4RZC3	NP_001040782
WBGene00000113	F45H10.1a.1	F45H10.1a.1	alh-7		O02266	NP_001254393
WBGene00000113	F45H10.1b.1	F45H10.1b.1	alh-7		G3MU66	NP_001367295
WBGene00000114	F13D12.4a.1	F13D12.4a.1	alh-8	P52713		NP_001022078
WBGene00000114	F13D12.4b.1	F13D12.4b.1	alh-8		Q7JMI1	NP_001022079
WBGene00000115	F01F1.6.1	F01F1.6.1	alh-9	P46562		NP_498263
WBGene00000115	F01F1.6.2	F01F1.6.2	alh-9	P46562		NP_498263
WBGene00000116	C54D1.4.1	C54D1.4.1	alh-10		Q18822	NP_509203
WBGene00000117	F42G9.5a.1	F42G9.5a.1	alh-11		Q20352	NP_001379574
WBGene00000117	F42G9.5b.1	F42G9.5b.1	alh-11		Q8MNS6	NP_001379575
WBGene00000117	F42G9.5b.2	F42G9.5b.2	alh-11		Q8MNS6	NP_001379575
WBGene00000118	Y69F12A.2a.1	Y69F12A.2a.1	alh-12		Q7Z1Q3	NP_001022930
WBGene00000118	Y69F12A.2b.1	Y69F12A.2b.1	alh-12		Q7Z1Q2	NP_001370775
WBGene00000120	C01F6.5.1	C01F6.5.1	aly-1		Q17561	NP_501588
WBGene00000121	F23B2.6.1	F23B2.6.1	aly-2		O62183	NP_501594
WBGene00000122	M18.7a.1	M18.7a.1	aly-3		Q21559	NP_001076697
WBGene00000123	F36A4.7.1	F36A4.7.1	ama-1	P16356		NP_500523
WBGene00000133	C05E11.4.1	C05E11.4.1	amt-1	P54145		NP_508784
WBGene00000134	F49E11.3.1	F49E11.3.1	amt-2	Q20605		NP_502496
WBGene00000135	M195.3.1	M195.3.1	amt-3	Q21565		NP_495761
WBGene00000136	C05E11.5.1	C05E11.5.1	amt-4		Q17663	NP_508783
WBGene00000137	R13G10.2.1	R13G10.2.1	amx-1	Q21988		NP_497772
WBGene00000138	B0019.1.1	B0019.1.1	amx-2		Q9XXU5	NP_001369790
WBGene00000139	F25C8.2a.1	F25C8.2a.1	amx-3		E0AHD3	NP_001355373
WBGene00000139	F25C8.2b.1	F25C8.2b.1	amx-3		E0AHD4	NP_001256964
WBGene00000140	ZK973.6a.1	ZK973.6a.1	anc-1	Q9N4M4		NP_491353
WBGene00000140	ZK973.6b.1	ZK973.6b.1	anc-1		A0A2C9C2Z1	NP_001343735
WBGene00000140	ZK973.6c.1	ZK973.6c.1	anc-1		A0A2C9C3A7	NP_001343707
WBGene00000142	C08B6.9.1	C08B6.9.1	aos-1	Q17820		NP_505604
WBGene00000143	K06H7.6.1	K06H7.6.1	apc-2	P34514		NP_498762
WBGene00000144	F15H10.3a.1	F15H10.3a.1	apc-10	H2L2B8		NP_001256220
WBGene00000144	F15H10.3b.1	F15H10.3b.1	apc-10	H2L2B8		NP_001256217
WBGene00000144	F15H10.3c.1	F15H10.3c.1	apc-10	H2L2B8		NP_001256218
WBGene00000144	F15H10.3d.1	F15H10.3d.1	apc-10	H2L2B8		NP_001256219
WBGene00000145	F35G12.9.1	F35G12.9.1	apc-11	Q20052		NP_497937
WBGene00000146	F46F3.4a.1	F46F3.4a.1	ape-1	Q9XVN3		NP_001256353
WBGene00000146	F46F3.4b.1	F46F3.4b.1	ape-1	Q9XVN3		NP_001256354
WBGene00000146	F46F3.4c.1	F46F3.4c.1	ape-1	Q9XVN3		NP_001256355
WBGene00000146	F46F3.4d.1	F46F3.4d.1	ape-1	Q9XVN3		NP_001256356
WBGene00000147	VF36H2L.1.1	VF36H2L.1.1	aph-1	O45876		NP_492469
WBGene00000148	ZC434.6a.1	ZC434.6a.1	aph-2		A5Z2T7	NP_001122563
WBGene00000148	ZC434.6b.1	ZC434.6b.1	aph-2	Q23316		NP_492712
WBGene00000149	C42D8.8a.1	C42D8.8a.1	apl-1	Q10651		NP_508870
WBGene00000149	C42D8.8b.1	C42D8.8b.1	apl-1	Q10651		NP_508871
WBGene00000150	F55A12.7.1	F55A12.7.1	apm-1		O01755	NP_491572
WBGene00000151	T05H10.2.1	T05H10.2.1	apn-1	Q10002		NP_495687
WBGene00000155	W03G9.4.1	W03G9.4.1	app-1	O44750		NP_491489
WBGene00000156	K04G2.8a.1	K04G2.8a.1	apr-1	Q21227		NP_492217
WBGene00000156	K04G2.8b.1	K04G2.8b.1	apr-1	Q21227		NP_001021547
WBGene00000156	K04G2.8c.1	K04G2.8c.1	apr-1		A0A1I6CM53	NP_001334202
WBGene00000157	F02E8.3.1	F02E8.3.1	aps-2		Q19123	NP_508767
WBGene00000158	Y105E8A.9.1	Y105E8A.9.1	apg-1		Q8WQB3	NP_740937
WBGene00000159	F29G9.3.1	F29G9.3.1	aps-1		O16369	NP_001379652
WBGene00000160	Y71H2B.10.1	Y71H2B.10.1	apb-1		Q9N4F3	NP_001022937
WBGene00000161	T20B5.1.1	T20B5.1.1	apa-2		Q22601	NP_001370626
WBGene00000162	W09G10.4a.1	W09G10.4a.1	apd-3		O16637	NP_494570
WBGene00000162	W09G10.4b.1	W09G10.4b.1	apd-3		Q95X88	NP_494571
WBGene00000163	R11A5.1a.1	R11A5.1a.1	apb-3		O45718	NP_492170
WBGene00000163	R11A5.1b.1	R11A5.1b.1	apb-3		O62348	NP_492171
WBGene00000164	F53H8.1.1	F53H8.1.1	apm-3		Q20736	NP_508184
WBGene00000165	Y48G8AL.14.1	Y48G8AL.14.1	aps-3		Q8T874	NP_001380048
WBGene00000166	W04G3.4.1	W04G3.4.1	apt-9		Q23165	NP_509853
WBGene00000168	K08D9.3a.1	K08D9.3a.1	apx-1	P41990		NP_503882
WBGene00000168	K08D9.3e.1	K08D9.3e.1	apx-1		A0A0S4XRY4	NP_001305192
WBGene00000168	K08D9.3f.1	K08D9.3f.1	apx-1		A0A486WTV8	NP_001360546
WBGene00000169	F32A5.5a.1	F32A5.5a.1	aqp-1		Q19949	NP_495510
WBGene00000169	F32A5.5b.1	F32A5.5b.1	aqp-1		Q8IG23	NP_001367603
WBGene00000170	C01G6.1a.1	C01G6.1a.1	aqp-2		Q17571	NP_001379056
WBGene00000170	C01G6.1b.1	C01G6.1b.1	aqp-2		Q7JMQ6	NP_001366692
WBGene00000170	C01G6.1b.2	C01G6.1b.2	aqp-2		Q7JMQ6	NP_001366692
WBGene00000171	Y69E1A.7a.1	Y69E1A.7a.1	aqp-3		Q9XW36	NP_502044
WBGene00000171	Y69E1A.7b.1	Y69E1A.7b.1	aqp-3		A0A061ADS9	NP_001293896
WBGene00000171	Y69E1A.7c.1	Y69E1A.7c.1	aqp-3		A0A131MBS2	NP_001309613
WBGene00000172	F40F9.9.1	F40F9.9.1	aqp-4		G5EEK0	NP_505512
WBGene00000173	C35A5.1.1	C35A5.1.1	aqp-5		Q18469	NP_505691
WBGene00000174	C32C4.2a.1	C32C4.2a.1	aqp-6		Q18352	NP_001256248
WBGene00000174	C32C4.2b.1	C32C4.2b.1	aqp-6		D5MCS1	NP_001256245
WBGene00000174	C32C4.2c.1	C32C4.2c.1	aqp-6		H2FLH4	NP_001256246
WBGene00000175	M02F4.8a.1	M02F4.8a.1	aqp-7		Q21473	NP_001370535
WBGene00000175	M02F4.8a.2	M02F4.8a.2	aqp-7		Q21473	NP_001370535
WBGene00000175	M02F4.8b.1	M02F4.8b.1	aqp-7		A0A6V7QYI0	NP_001379301
WBGene00000176	K02G10.7a.1	K02G10.7a.1	aqp-8		Q7Z138	NP_001359963
WBGene00000176	K02G10.7b.1	K02G10.7b.1	aqp-8		Q7Z137	NP_001024758
WBGene00000176	K02G10.7b.2	K02G10.7b.2	aqp-8		Q7Z137	NP_001024758
WBGene00000176	K02G10.7c.1	K02G10.7c.1	aqp-8		A0A2K5AU20	NP_001348812
WBGene00000176	K02G10.7d.1	K02G10.7d.1	aqp-8		A0A2K5AU16	NP_001348813
WBGene00000177	K07A1.16a.1	K07A1.16a.1	aqp-9		Q7JL16	NP_001251148
WBGene00000177	K07A1.16a.2	K07A1.16a.2	aqp-9		Q7JL16	NP_001251148
WBGene00000177	K07A1.16b.1	K07A1.16b.1	aqp-9		E5QCH4	NP_001251149
WBGene00000178	ZK1321.3.1	ZK1321.3.1	aqp-10	Q09369		NP_496105
WBGene00000179	ZK525.2.1	ZK525.2.1	aqp-11		O46024	NP_499821
WBGene00000180	ZK1320.6.1	ZK1320.6.1	arc-1	Q09654		NP_496089
WBGene00000181	F01G4.2a.1	F01G4.2a.1	ard-1		Q19102	NP_502083
WBGene00000181	F01G4.2b.1	F01G4.2b.1	ard-1		A0A061AD09	NP_001293993
WBGene00000182	B0336.2.1	B0336.2.1	arf-1	Q10943		NP_001367325
WBGene00000182	B0336.2.2	B0336.2.2	arf-1	Q10943		NP_001367325
WBGene00000183	F57H12.1.1	F57H12.1.1	arf-5		G5EFK4	NP_501336
WBGene00000184	Y116A8C.12.1	Y116A8C.12.1	arf-6		Q9U2S4	NP_503011
WBGene00000185	F31A9.3.1	F31A9.3.1	arg-1		H2KYS0	NP_001024615
WBGene00000186	C01C7.1a.1	C01C7.1a.1	ark-1	G5EBZ8		NP_001255654
WBGene00000186	C01C7.1b.1	C01C7.1b.1	ark-1	G5EBZ8		NP_001255653
WBGene00000187	F54C9.10.1	F54C9.10.1	arl-1	Q20758		NP_495816
WBGene00000188	F19H8.3.1	F19H8.3.1	arl-3	O45379		NP_497037
WBGene00000189	ZK632.8.1	ZK632.8.1	arl-5	P34212		NP_001379051
WBGene00000190	F45E4.1.1	F45E4.1.1	warf-1	Q94231		NP_501242
WBGene00000192	Y57G11C.13.1	Y57G11C.13.1	arl-8		G5EDC6	NP_502791
WBGene00000193	C38D4.8.1	C38D4.8.1	arl-6	Q18510		NP_497993
WBGene00000195	F53H8.2.1	F53H8.2.1	arr-1	P51485		NP_508183
WBGene00000196	W02B12.6a.1	W02B12.6a.1	aars-1	Q23122		NP_496444
WBGene00000197	F28H1.3.1	F28H1.3.1	aars-2	O01541		NP_491281
WBGene00000197	F28H1.3.2	F28H1.3.2	aars-2	O01541		NP_491281
WBGene00000198	C15F1.6.1	C15F1.6.1	art-1	Q9N5Y2		NP_495430
WBGene00000199	Y71F9AL.16.1	Y71F9AL.16.1	arx-1	Q9N4I0		NP_491066
