Gene stable ID	Transcript stable ID	Protein stable ID	NCBI gene (formerly Entrezgene) ID	UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID	Gene name	RefSeq peptide ID
YDL206W	YDL206W_mRNA	YDL206W	851321	Q12424			NP_010075.1	
YLR327C	YLR327C_mRNA	YLR327C	851037	Q06177		TMA10	NP_013431.1	
YBR119W	YBR119W_mRNA	YBR119W	852416	P32605		MUD1	NP_009677.1	
YDR125C	YDR125C_mRNA	YDR125C	851703	Q04623		ECM18	NP_010410.3	
YFR052W	YFR052W_mRNA	YFR052W	850613	P32496		RPN12	NP_116710.1	
YLR154C-H	YLR154C-H_mRNA	YLR154C-H	1466414	P0CY05			NP_878122.1	
YLR154C-H	YLR154C-H_mRNA	YLR154C-H	1466415	P0CY05			NP_878122.1	
YLR154C-H	YLR154C-H_mRNA	YLR154C-H	1466411	P0CY05			NP_878122.1	
YLR154C-H	YLR154C-H_mRNA	YLR154C-H	1466410	P0CY05			NP_878122.1	
YLR154C-H	YLR154C-H_mRNA	YLR154C-H	1466414	P0CY02			NP_878122.1	
YLR154C-H	YLR154C-H_mRNA	YLR154C-H	1466415	P0CY02			NP_878122.1	
YLR154C-H	YLR154C-H_mRNA	YLR154C-H	1466411	P0CY02			NP_878122.1	
YLR154C-H	YLR154C-H_mRNA	YLR154C-H	1466410	P0CY02			NP_878122.1	
YLR154C-H	YLR154C-H_mRNA	YLR154C-H	1466414	P0CY04			NP_878122.1	
YLR154C-H	YLR154C-H_mRNA	YLR154C-H	1466415	P0CY04			NP_878122.1	
YLR154C-H	YLR154C-H_mRNA	YLR154C-H	1466411	P0CY04			NP_878122.1	
YLR154C-H	YLR154C-H_mRNA	YLR154C-H	1466410	P0CY04			NP_878122.1	
YLR154C-H	YLR154C-H_mRNA	YLR154C-H	1466414	P0CY03			NP_878122.1	
YLR154C-H	YLR154C-H_mRNA	YLR154C-H	1466415	P0CY03			NP_878122.1	
YLR154C-H	YLR154C-H_mRNA	YLR154C-H	1466411	P0CY03			NP_878122.1	
YLR154C-H	YLR154C-H_mRNA	YLR154C-H	1466410	P0CY03			NP_878122.1	
YGL211W	YGL211W_mRNA	YGL211W	852661	P53088		NCS6	NP_011304.2	
YIL107C	YIL107C_mRNA	YIL107C	854699	P40433		PFK26	NP_012159.1	
YJL213W	YJL213W_mRNA	YJL213W	853217	P40896			NP_012322.1	
YML133W-B	YML133W-B_mRNA	YML133W-B		P0CL34				
YML133W-B	YML133W-B_mRNA	YML133W-B		P0CL35				
YML133W-B	YML133W-B_mRNA	YML133W-B		P0CL36				
YPR204W	YPR204W_mRNA	YPR204W	856334	Q08995			NP_015530.1	
YBL022C	YBL022C_mRNA	YBL022C	852259	P36775		PIM1	NP_009531.1	
YIL150C	YIL150C_mRNA	YIL150C	854656	P32354		MCM10	NP_012116.1	
YPR103W	YPR103W_mRNA	YPR103W	856218	P30656		PRE2	NP_015428.1	
YGR141W	YGR141W_mRNA	YGR141W	853042	P53285		VPS62	NP_011657.1	
YIL165C	YIL165C_mRNA	YIL165C	854641	P40446			NP_012101.1	
YDR338C	YDR338C_mRNA	YDR338C	851938	Q05497			NP_010625.1	
YKL061W	YKL061W_mRNA	YKL061W	853804	P35727		BLI1	NP_012862.1	
YOR058C	YOR058C_mRNA	YOR058C	854223	P50275		ASE1	NP_116582.1	
YPR155C	YPR155C_mRNA	YPR155C	856278	Q12374		NCA2	NP_015481.1	
YDR526C	YDR526C_mRNA	YDR526C		P87274				
YJR046W	YJR046W_mRNA	YJR046W	853504	P47112		TAH11	NP_012580.1	
YER084W	YER084W_mRNA	YER084W	856816	P40057			NP_001257673.1	
YOR270C	YOR270C_mRNA	YOR270C	854444	P32563		VPH1	NP_014913.3	
YHR125W	YHR125W_mRNA	YHR125W		P38831				
YGL239C	YGL239C_mRNA	YGL239C		P53069				
YDR533C	YDR533C_mRNA	YDR533C	852146	Q04432		HSP31	NP_010822.1	
YOL154W	YOL154W_mRNA	YOL154W	854011	Q12512		ZPS1	NP_014488.1	
YOR115C	YOR115C_mRNA	YOR115C	854282	Q99394		TRS33	NP_014758.3	
YDR272W	YDR272W_mRNA	YDR272W	851865	Q05584		GLO2	NP_010558.3	
YLR247C	YLR247C_mRNA	YLR247C	850949	Q06554		IRC20	NP_013348.1	
YER183C	YER183C_mRNA	YER183C	856932	P40099		FAU1	NP_011110.1	
YKL139W	YKL139W_mRNA	YKL139W	853718	Q03957		CTK1	NP_012783.1	
YOL003C	YOL003C_mRNA	YOL003C	854159	Q12006		PFA4	NP_014640.1	
YNL091W	YNL091W_mRNA	YNL091W	855633	P53935		NST1	NP_014308.1	
YGL097W	YGL097W_mRNA	YGL097W	852782	P21827		SRM1	NP_011418.1	
YGR030C	YGR030C_mRNA	YGR030C	852918	P53218		POP6	NP_011544.1	
YNL157W	YNL157W_mRNA	YNL157W	855565	P53897		IGO1	NP_014242.1	
YDR197W	YDR197W_mRNA	YDR197W	851778	P14905		CBS2	NP_010483.1	
YEL009C-A	YEL009C-A_mRNA	YEL009C-A		A0A023PZF2				
YNL315C	YNL315C_mRNA	YNL315C	855401	P32453		ATP11	NP_014084.1	
YDR512C	YDR512C_mRNA	YDR512C	852125	Q04406		EMI1	NP_010800.3	
YOR258W	YOR258W_mRNA	YOR258W	854432	Q08702		HNT3	NP_014901.1	
YPL250W-A	YPL250W-A_mRNA	YPL250W-A		P0C5S0				
YDR489W	YDR489W_mRNA	YDR489W	852100	Q03406		SLD5	NP_010777.3	
YEL059C-A	YEL059C-A_mRNA	YEL059C-A	856650	Q05676		SOM1	NP_058154.3	
YOL103W	YOL103W_mRNA	YOL103W	854050	P30606		ITR2	NP_014538.2	
YLR167W	YLR167W_mRNA	YLR167W	850864	P05759		RPS31	NP_013268.1	
YLR220W	YLR220W_mRNA	YLR220W	850917	P47818		CCC1	NP_013321.1	
YLR455W	YLR455W_mRNA	YLR455W	851177	Q06188		PDP3	NP_013560.3	
YJL020C	YJL020C_mRNA	YJL020C	853433	P47068		BBC1	NP_012514.2	
YLR282C	YLR282C_mRNA	YLR282C		O13542				
YKL180W	YKL180W_mRNA	YKL180W	853674	P05740		RPL17A	NP_012741.1	
YOR215C	YOR215C_mRNA	YOR215C	854390	Q12032		AIM41	NP_014858.1	
YDR299W	YDR299W_mRNA	YDR299W	851893	Q06631		BFR2	NP_010585.3	
YKL004W	YKL004W_mRNA	YKL004W	853866	P36107		AUR1	NP_012922.1	
YDL015C	YDL015C_mRNA	YDL015C	851547	Q99190		TSC13	NP_010269.1	
YDR304C	YDR304C_mRNA	YDR304C	851898	P35176		CPR5	NP_010590.3	
YNL221C	YNL221C_mRNA	YNL221C	855500	P41812		POP1	NP_014178.1	
YHR206W	YHR206W_mRNA	YHR206W	856613	P38889		SKN7	NP_012076.3	
YML090W	YML090W_mRNA	YML090W		Q04501				
YDR271C	YDR271C_mRNA	YDR271C		P87282				
YOL095C	YOL095C_mRNA	YOL095C	854058	Q12039		HMI1	NP_014546.1	
YPL244C	YPL244C_mRNA	YPL244C	855832	Q12520		HUT1	NP_015080.1	
YAL053W	YAL053W_mRNA	YAL053W	851246	P39719		FLC2	NP_009348.2	
YDL181W	YDL181W_mRNA	YDL181W	851347	P01097		INH1	NP_010100.1	
YGR224W	YGR224W_mRNA	YGR224W	853139	P50080		AZR1	NP_011740.3	
YHR097C	YHR097C_mRNA	YHR097C	856497	P38809			NP_011965.1	
YLR094C	YLR094C_mRNA	YLR094C	850783	Q12418		GIS3	NP_013195.1	
YPR141C	YPR141C_mRNA	YPR141C	856263	P17119		KAR3	NP_015467.1	
YGR142W	YGR142W_mRNA	YGR142W	853043	P53286		BTN2	NP_011658.3	
YML101C	YML101C_mRNA	YML101C	854871	Q04201		CUE4	NP_013607.1	
YFL064C	YFL064C_mRNA	YFL064C	850480	P43540			NP_116591.1	
YOL063C	YOL063C_mRNA	YOL063C	854091	Q08226		CRT10	NP_014578.1	
YNR052C	YNR052C_mRNA	YNR052C	855788	P39008		POP2	NP_014450.3	
YCR060W	YCR060W_mRNA	YCR060W	850424	P25638		TAH1	NP_009986.1	
YGR186W	YGR186W_mRNA	YGR186W	853098	P41895		TFG1	NP_011702.1	
YNL061W	YNL061W_mRNA	YNL061W	855664	P40991		NOP2	NP_014338.3	
YOL079W	YOL079W_mRNA	YOL079W		Q08238				
YDR367W	YDR367W_mRNA	YDR367W	851973	Q06346		KEI1	NP_010655.1	
YER172C	YER172C_mRNA	YER172C	856919	P32639		BRR2	NP_011099.1	
YHR005C-A	YHR005C-A_mRNA	YHR005C-A	856395	P87108		TIM10	NP_011869.1	
YCR071C	YCR071C_mRNA	YCR071C	850434	P25642		IMG2	NP_009996.2	
YOR389W	YOR389W_mRNA	YOR389W	854571	Q08912			NP_015034.3	
