Gene stable ID	Transcript stable ID	Protein stable ID	NCBI gene (formerly Entrezgene) ID	UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID	Gene name	RefSeq peptide ID
ENSRNOG00000015810	ENSRNOT00000112286	ENSRNOP00000076549	292206			Trip13	NP_001011930	
ENSRNOG00000013596	ENSRNOT00000119157	ENSRNOP00000078449	294718			Dimt1		
ENSRNOG00000010349	ENSRNOT00000110276	ENSRNOP00000089522	59301			Ghrl		
ENSRNOG00000064304	ENSRNOT00000088190	ENSRNOP00000071440	365413		A0A0G2K0G8	Olr361	NP_001000556	
ENSRNOG00000065199	ENSRNOT00000081824	ENSRNOP00000072342	100911668		A0A0G2K2R3	Hoxa10		
ENSRNOG00000017538	ENSRNOT00000049631	ENSRNOP00000048246	499281		D3ZDV5	Lrrc27	NP_001107261	
ENSRNOG00000014903	ENSRNOT00000040740	ENSRNOP00000051399	309376		A0A140TAG8	Zfyve27	NP_954535	
ENSRNOG00000017748	ENSRNOT00000054887	ENSRNOP00000051771	309095		D3ZZX2	Nkx6-2	NP_001101028	
ENSRNOG00000013596	ENSRNOT00000018527	ENSRNOP00000018527	294718		G3V7R8	Dimt1		
ENSRNOG00000015499	ENSRNOT00000064982	ENSRNOP00000060187	311358		D3ZI47	Serinc4		
ENSRNOG00000011160	ENSRNOT00000015084	ENSRNOP00000083518	117556			Sv2b	NP_476555	
ENSRNOG00000014903	ENSRNOT00000083287	ENSRNOP00000074613	309376	Q6P7B7		Zfyve27	NP_954535	
ENSRNOG00000016227	ENSRNOT00000022406	ENSRNOP00000022406	58815	Q9JLZ1		Glrx3		
ENSRNOG00000015499	ENSRNOT00000021008	ENSRNOP00000021008	311358	A8WCG0		Serinc4		
ENSRNOG00000013395	ENSRNOT00000018233	ENSRNOP00000018233	84387		G3V7R2	Pglyrp1	NP_445825	
ENSRNOG00000016906	ENSRNOT00000022879	ENSRNOP00000022879	365314		D3Z9Z2	Lipt2	NP_001102387	
ENSRNOG00000014903	ENSRNOT00000114879	ENSRNOP00000093987	309376			Zfyve27	NP_954535	
ENSRNOG00000004753	ENSRNOT00000006329	ENSRNOP00000006329	499903		F8WFM2	Napb		
ENSRNOG00000015499	ENSRNOT00000089433	ENSRNOP00000072425	311358	A8WCG0		Serinc4		
ENSRNOG00000015691	ENSRNOT00000021001	ENSRNOP00000021001	310764		D4ACF3	Inka2		
ENSRNOG00000070448	ENSRNOT00000115981	ENSRNOP00000085689	687092					
ENSRNOG00000020317	ENSRNOT00000027539	ENSRNOP00000027539	296315		Q5FVK9	Rab5if	NP_001013944	
ENSRNOG00000014903	ENSRNOT00000107917	ENSRNOP00000094645	309376			Zfyve27	NP_954535	
ENSRNOG00000015691	ENSRNOT00000115720	ENSRNOP00000096341	310764			Inka2		
ENSRNOG00000065290	ENSRNOT00000045360	ENSRNOP00000051154	365341		D3ZZ28	Olr220	NP_001000552	
ENSRNOG00000016227	ENSRNOT00000107315	ENSRNOP00000079546	58815			Glrx3		
ENSRNOG00000067171	ENSRNOT00000120310	ENSRNOP00000085258						
ENSRNOG00000021051	ENSRNOT00000028588	ENSRNOP00000028588	116692	P63035	F1LSU6	Cyth2		
ENSRNOG00000004753	ENSRNOT00000100069	ENSRNOP00000083784	499903			Napb		
ENSRNOG00000016227	ENSRNOT00000083316	ENSRNOP00000073509	58815		A0A0G2K5P8	Glrx3		
ENSRNOG00000016227	ENSRNOT00000109827	ENSRNOP00000091412	58815			Glrx3		
ENSRNOG00000021051	ENSRNOT00000100389	ENSRNOP00000097083	116692			Cyth2		
ENSRNOG00000070096	ENSRNOT00000042245	ENSRNOP00000044270	293083		D3ZX88	Olr20	NP_001000118	
ENSRNOG00000062311	ENSRNOT00000051533	ENSRNOP00000042246	295786		D4A8P0	Olr530	NP_001001376	
ENSRNOG00000010595	ENSRNOT00000042968	ENSRNOP00000051270	266631		G3V9K8	Rbm45	NP_695218	
ENSRNOG00000021051	ENSRNOT00000115939	ENSRNOP00000087507	116692			Cyth2		
ENSRNOG00000009830	ENSRNOT00000013031	ENSRNOP00000013031	308004		D4A037	Fam204a	NP_001100918	
ENSRNOG00000069707	ENSRNOT00000092900	ENSRNOP00000097417						
ENSRNOG00000063184	ENSRNOT00000048699	ENSRNOP00000042655	293367		D4A8F8	Olr221	NP_001000200	
ENSRNOG00000067491	ENSRNOT00000101755	ENSRNOP00000076510						
ENSRNOG00000012742	ENSRNOT00000017019	ENSRNOP00000017019	306657		D3ZGA0	Irx2	NP_001034594	
ENSRNOG00000020337	ENSRNOT00000027581	ENSRNOP00000027581	499931		D3ZMV1	Sla2	NP_001165589	
ENSRNOG00000027582	ENSRNOT00000029587	ENSRNOP00000029334	25417		F1LNT0	Dpysl4	NP_037065	
ENSRNOG00000016408	ENSRNOT00000077375	ENSRNOP00000070270	310695		A0A0G2JXH3	Kirrel1	NP_997489	
ENSRNOG00000070569	ENSRNOT00000104109	ENSRNOP00000092704	295012			RGD1563562		
ENSRNOG00000065122	ENSRNOT00000115090	ENSRNOP00000088325	311359		F1M8A5	Hypk	NP_001292192	
ENSRNOG00000070655	ENSRNOT00000068048	ENSRNOP00000070364	366102		A0A0G2JXQ4	Olr532	NP_001000563	
ENSRNOG00000069837	ENSRNOT00000096350	ENSRNOP00000084883						
ENSRNOG00000063387	ENSRNOT00000117400	ENSRNOP00000085108	405039		M0R795	Olr310		
ENSRNOG00000016408	ENSRNOT00000031743	ENSRNOP00000033900	310695	Q6X936		Kirrel1	NP_997489	
ENSRNOG00000008121	ENSRNOT00000010788	ENSRNOP00000010788	58980	Q07782		Slc13a1		
ENSRNOG00000063387	ENSRNOT00000120149	ENSRNOP00000083547	405039		M0R795	Olr310		
ENSRNOG00000069837	ENSRNOT00000110036	ENSRNOP00000079833						
ENSRNOG00000064203	ENSRNOT00000096490	ENSRNOP00000083237	405214		F1MAA6	Olr825	NP_001000904	
ENSRNOG00000013790	ENSRNOT00000018489	ENSRNOP00000018489	361957		D3ZV75	Mfsd1		
ENSRNOG00000008463	ENSRNOT00000087657	ENSRNOP00000069461	688590		A0A0G2JVF1	Rundc3b	NP_001040581	
ENSRNOG00000070996	ENSRNOT00000096496	ENSRNOP00000095328	296072		Q3C2P9	Spred1		
ENSRNOG00000064203	ENSRNOT00000100879	ENSRNOP00000076365	405214			Olr825	NP_001000904	
ENSRNOG00000015184	ENSRNOT00000095258	ENSRNOP00000081757	296566			Clic3	NP_001013098	
ENSRNOG00000008121	ENSRNOT00000107805	ENSRNOP00000086866	58980			Slc13a1		
ENSRNOG00000008463	ENSRNOT00000030224	ENSRNOP00000035622	688590	Q3B7K9		Rundc3b	NP_001040581	
ENSRNOG00000020893	ENSRNOT00000028389	ENSRNOP00000028389	260323		G3V8U4	Snx27	NP_690060	
ENSRNOG00000070996	ENSRNOT00000112589	ENSRNOP00000086017	296072			Spred1		
ENSRNOG00000013767	ENSRNOT00000018495	ENSRNOP00000018495	292680	A0JPP8		Ccdc61	NP_001099699	
ENSRNOG00000015184	ENSRNOT00000020497	ENSRNOP00000020497	296566		D3ZY91	Clic3	NP_001013098	
ENSRNOG00000030782	ENSRNOT00000043307	ENSRNOP00000043991	405384		F1LTK3	Olr283	NP_001001010	
ENSRNOG00000064203	ENSRNOT00000102685	ENSRNOP00000094223	405214		F1MAA6	Olr825	NP_001000904	
ENSRNOG00000069399	ENSRNOT00000100677	ENSRNOP00000094709						
ENSRNOG00000013790	ENSRNOT00000106348	ENSRNOP00000096455	361957			Mfsd1		
ENSRNOG00000016421	ENSRNOT00000021971	ENSRNOP00000021971	308800		D4A9G4	Tyr	NP_001101005	
ENSRNOG00000070996	ENSRNOT00000116795	ENSRNOP00000080793	296072			Spred1		
ENSRNOG00000019455	ENSRNOT00000112010	ENSRNOP00000087320	310746			Ap4b1		
ENSRNOG00000065756	ENSRNOT00000021562	ENSRNOP00000021562	499878		D4ACM9	Mfap1a	NP_001178893	
ENSRNOG00000019455	ENSRNOT00000110237	ENSRNOP00000094687	310746			Ap4b1		
ENSRNOG00000014726	ENSRNOT00000034610	ENSRNOP00000031354	353317	Q7TN78		Acsm4	NP_859046	
ENSRNOG00000004967	ENSRNOT00000097908	ENSRNOP00000083310	362223			Snrpb2	NP_001102062	
ENSRNOG00000019455	ENSRNOT00000026382	ENSRNOP00000026382	310746		D4AD35	Ap4b1		
ENSRNOG00000018334	ENSRNOT00000024690	ENSRNOP00000024690	292847	B1WBV0		Ctu1	NP_001099721	
ENSRNOG00000019455	ENSRNOT00000112580	ENSRNOP00000085168	310746			Ap4b1		
ENSRNOG00000023407	ENSRNOT00000110261	ENSRNOP00000092978	364656			Mrpl36		
ENSRNOG00000004967	ENSRNOT00000006900	ENSRNOP00000006900	362223		B5DEQ4	Snrpb2	NP_001102062	
ENSRNOG00000061890	ENSRNOT00000051289	ENSRNOP00000039430	171398		Q4KM07	Ust5r		
ENSRNOG00000030825	ENSRNOT00000045231	ENSRNOP00000042330	404876		D4A4N0	Olr533	NP_001000673	
ENSRNOG00000063357	ENSRNOT00000103280	ENSRNOP00000083325						
ENSRNOG00000067027	ENSRNOT00000104840	ENSRNOP00000084917	108349691					
ENSRNOG00000023407	ENSRNOT00000029531	ENSRNOP00000032662	364656	B2RZ39		Mrpl36		
ENSRNOG00000014617	ENSRNOT00000099476	ENSRNOP00000077475	192152			Tgoln2	NP_620195	
ENSRNOG00000017366	ENSRNOT00000023325	ENSRNOP00000023325	365336		D4A7H3	Olr192	NP_001000549	
ENSRNOG00000010529	ENSRNOT00000014552	ENSRNOP00000014552	292406		D4A2G6	Thbs2	NP_001162609	
ENSRNOG00000065221	ENSRNOT00000110965	ENSRNOP00000083297	497039			Amy2a3	NP_113690	
ENSRNOG00000012684	ENSRNOT00000111604	ENSRNOP00000080965	293938			Bloc1s2		
ENSRNOG00000023407	ENSRNOT00000072992	ENSRNOP00000067146	364656	B2RZ39		Mrpl36		
ENSRNOG00000032699	ENSRNOT00000068459	ENSRNOP00000062088	292597	P0C5X8	B4F773	Ttyh1		
ENSRNOG00000018408	ENSRNOT00000024829	ENSRNOP00000024829	292739	A0JPQ7		RGD1307554		
ENSRNOG00000019416	ENSRNOT00000088431	ENSRNOP00000073100	499094		A0A0G2K4M5		NP_001017512	
ENSRNOG00000007608	ENSRNOT00000010019	ENSRNOP00000010019	500048		D3ZPD6	Fezf1	NP_001102694	
ENSRNOG00000008980	ENSRNOT00000012086	ENSRNOP00000012086	296840	Q561R3		Rbm48	NP_001019417	
ENSRNOG00000019416	ENSRNOT00000110811	ENSRNOP00000087905	499094				NP_001017512	
ENSRNOG00000018408	ENSRNOT00000077968	ENSRNOP00000069464	292739		A0A0G2JVF4	RGD1307554		
ENSRNOG00000032699	ENSRNOT00000106376	ENSRNOP00000077750	292597			Ttyh1		
ENSRNOG00000056110	ENSRNOT00000084704	ENSRNOP00000071742	404884		A0A0G2K186	Olr500	NP_001000680	
ENSRNOG00000014617	ENSRNOT00000019713	ENSRNOP00000019713	192152	P19814		Tgoln2	NP_620195	
ENSRNOG00000061890	ENSRNOT00000050010	ENSRNOP00000047683	171398		G3V9H5	Ust5r		
ENSRNOG00000070161	ENSRNOT00000090675	ENSRNOP00000068801			A0A0G2JTQ4			
ENSRNOG00000028721	ENSRNOT00000034252	ENSRNOP00000033828	366206		D4A1F5	Otor	NP_001102430	
ENSRNOG00000015294	ENSRNOT00000020806	ENSRNOP00000020806	296565		A0A0G2QC22	Paxx		
ENSRNOG00000019416	ENSRNOT00000115645	ENSRNOP00000085711	499094				NP_001017512	
ENSRNOG00000066101	ENSRNOT00000098342	ENSRNOP00000084793	100911574		A0A0G2K5W0	Gm9999		
ENSRNOG00000013074	ENSRNOT00000099117	ENSRNOP00000078611	24883			Wt1		
ENSRNOG00000014617	ENSRNOT00000115005	ENSRNOP00000096733	192152			Tgoln2	NP_620195	
ENSRNOG00000015294	ENSRNOT00000113013	ENSRNOP00000084756	296565			Paxx		
ENSRNOG00000036631	ENSRNOT00000054808	ENSRNOP00000066082	309212	Q6XKD3		Ptgdr2	NP_001012070	
ENSRNOG00000027016	ENSRNOT00000001607	ENSRNOP00000001607	311088		F1M124	Cobll1		
ENSRNOG00000032699	ENSRNOT00000103317	ENSRNOP00000090077	292597			Ttyh1		
ENSRNOG00000014617	ENSRNOT00000117115	ENSRNOP00000083644	192152			Tgoln2	NP_620195	
ENSRNOG00000027016	ENSRNOT00000104492	ENSRNOP00000078543	311088			Cobll1		
ENSRNOG00000067771	ENSRNOT00000094067	ENSRNOP00000095400						
ENSRNOG00000013074	ENSRNOT00000067940	ENSRNOP00000060038	24883		D3ZJ55	Wt1		
ENSRNOG00000063217	ENSRNOT00000101208	ENSRNOP00000095629	679825			Rrlt		
ENSRNOG00000069390	ENSRNOT00000100023	ENSRNOP00000092571						
ENSRNOG00000063736	ENSRNOT00000097086	ENSRNOP00000097593						
ENSRNOG00000009468	ENSRNOT00000012831	ENSRNOP00000012832	84405		G3V780	Il12a		
ENSRNOG00000061890	ENSRNOT00000077408	ENSRNOP00000072241	171398		Q498U8	Ust5r		
ENSRNOG00000016659	ENSRNOT00000044183	ENSRNOP00000045891	292126		F1M8H8	Habp2		
ENSRNOG00000047406	ENSRNOT00000071842	ENSRNOP00000064743	361192		M0R5R5	RGD1308544		
ENSRNOG00000019416	ENSRNOT00000105628	ENSRNOP00000095401	499094				NP_001017512	
ENSRNOG00000063217	ENSRNOT00000111264	ENSRNOP00000089574	679825			Rrlt		
ENSRNOG00000014946	ENSRNOT00000020077	ENSRNOP00000020077	309041		F7FA68	Thumpd1		
ENSRNOG00000014946	ENSRNOT00000020077	ENSRNOP00000020077	309041		Q5M943	Thumpd1		
ENSRNOG00000009135	ENSRNOT00000068499	ENSRNOP00000060110	500007		F1LX06	1700109H08Rik		
ENSRNOG00000067778	ENSRNOT00000040055	ENSRNOP00000040660	295767		D4AD42	Olr514	NP_001000314	
ENSRNOG00000009468	ENSRNOT00000100522	ENSRNOP00000080028	84405			Il12a		
ENSRNOG00000031110	ENSRNOT00000043023	ENSRNOP00000043540	405378		D3ZGN9	Olr53	NP_001001008	
ENSRNOG00000014946	ENSRNOT00000084389	ENSRNOP00000070986	309041		A0A0G2JZB6	Thumpd1		
ENSRNOG00000013074	ENSRNOT00000102019	ENSRNOP00000086555	24883			Wt1		
ENSRNOG00000012684	ENSRNOT00000090755	ENSRNOP00000068679	293938		A0SXU1	Bloc1s2		
ENSRNOG00000067832	ENSRNOT00000103439	ENSRNOP00000091566	102554288					
ENSRNOG00000019416	ENSRNOT00000026252	ENSRNOP00000026252	499094		F1M975		NP_001017512	
ENSRNOG00000016659	ENSRNOT00000022382	ENSRNOP00000022382	292126		A2VD04	Habp2		
ENSRNOG00000016597	ENSRNOT00000022226	ENSRNOP00000084413				AABR07006081.1		
ENSRNOG00000020318	ENSRNOT00000083551	ENSRNOP00000069099	308576		A0A0G2JUH4	Pnkp		
ENSRNOG00000022491	ENSRNOT00000109502	ENSRNOP00000097696	311361			Wdr76		
ENSRNOG00000010628	ENSRNOT00000114125	ENSRNOP00000077650	297522			Sec13		
ENSRNOG00000012684	ENSRNOT00000017006	ENSRNOP00000017006	293938	Q32WR5		Bloc1s2		
ENSRNOG00000020318	ENSRNOT00000116508	ENSRNOP00000093468	308576			Pnkp		
ENSRNOG00000022491	ENSRNOT00000036209	ENSRNOP00000034184	311361		D3ZJT1	Wdr76		
ENSRNOG00000062564	ENSRNOT00000114512	ENSRNOP00000091033	120098765					
ENSRNOG00000010628	ENSRNOT00000106299	ENSRNOP00000091682	297522			Sec13		
ENSRNOG00000068976	ENSRNOT00000098724	ENSRNOP00000086604						
ENSRNOG00000028095	ENSRNOT00000029655	ENSRNOP00000033421	414138		Q6KGV4	Lcn6	NP_001001519	
ENSRNOG00000051199	ENSRNOT00000076015	ENSRNOP00000068297	680315		A0A096MJX4	Fsip2		
ENSRNOG00000020318	ENSRNOT00000051640	ENSRNOP00000039388	308576		Q6AXV0	Pnkp		
ENSRNOG00000010628	ENSRNOT00000014377	ENSRNOP00000014377	297522	Q5XFW8		Sec13		
ENSRNOG00000018940	ENSRNOT00000077441	ENSRNOP00000070095	116642		F1LNH7	Slc28a1	NP_446315	
ENSRNOG00000031947	ENSRNOT00000045531	ENSRNOP00000044605	100361060		D3ZZ95	AABR07071986.1		
ENSRNOG00000067832	ENSRNOT00000097704	ENSRNOP00000097484	102554288					
ENSRNOG00000051199	ENSRNOT00000089165	ENSRNOP00000072155	680315		A0A0G2K296	Fsip2		
ENSRNOG00000016565	ENSRNOT00000022193	ENSRNOP00000069116	365179		A0A0G2JUJ1			
ENSRNOG00000033706	ENSRNOT00000029197	ENSRNOP00000032634	308562		F1M091	Klk14		
ENSRNOG00000065362	ENSRNOT00000072310	ENSRNOP00000065534	295715		M0R7U8	Olr443	NP_001000285	
ENSRNOG00000061455	ENSRNOT00000075730	ENSRNOP00000073751	405931		A0A0G2K6B8	Olr354	NP_001001045	
ENSRNOG00000018940	ENSRNOT00000025621	ENSRNOP00000025621	116642		F1LNH7	Slc28a1	NP_446315	
ENSRNOG00000013945	ENSRNOT00000018696	ENSRNOP00000018696	308451	Q80ZG2		Itpkc	NP_835195	
ENSRNOG00000015424	ENSRNOT00000020678	ENSRNOP00000020678	405904		D3ZZ77	Olr51	NP_001001021	
ENSRNOG00000018953	ENSRNOT00000025829	ENSRNOP00000025829	292699	G3V8H4		Cblc		
ENSRNOG00000014385	ENSRNOT00000115886	ENSRNOP00000087654	116466			Wnt2b	NP_001178777	
ENSRNOG00000000096	ENSRNOT00000000107	ENSRNOP00000000107	65144	Q9JJ40		Pdzk1	NP_113900	
ENSRNOG00000019138	ENSRNOT00000025949	ENSRNOP00000025949	29313	O88201		Clec11a		
ENSRNOG00000009172	ENSRNOT00000012196	ENSRNOP00000012196	502774	Q4QR71		Cpvl		
ENSRNOG00000013198	ENSRNOT00000017615	ENSRNOP00000017615	293810		D3ZCH0	Olr377	NP_001001276	
ENSRNOG00000013945	ENSRNOT00000100648	ENSRNOP00000084385	308451			Itpkc	NP_835195	
ENSRNOG00000021695	ENSRNOT00000097887	ENSRNOP00000079900	500051			Hyal6	NP_001019491	
ENSRNOG00000068014	ENSRNOT00000112389	ENSRNOP00000094533						
ENSRNOG00000011135	ENSRNOT00000119389	ENSRNOP00000093700	81673			Gtf2b		
ENSRNOG00000014385	ENSRNOT00000019349	ENSRNOP00000019349	116466		G3V7U3	Wnt2b	NP_001178777	
ENSRNOG00000050445	ENSRNOT00000073233	ENSRNOP00000064735	60418		M0R5Q9	Gde1	NP_116004	
ENSRNOG00000018953	ENSRNOT00000110504	ENSRNOP00000095345	292699			Cblc		
ENSRNOG00000019138	ENSRNOT00000113316	ENSRNOP00000087157	29313			Clec11a		
ENSRNOG00000009172	ENSRNOT00000085812	ENSRNOP00000070651	502774	Q4QR71		Cpvl		
ENSRNOG00000021695	ENSRNOT00000009435	ENSRNOP00000009405	500051		Q66H49	Hyal6	NP_001019491	
ENSRNOG00000053559	ENSRNOT00000073539	ENSRNOP00000072749	293794		A0A0G2K3R9	Olr357	NP_001000257	
ENSRNOG00000065649	ENSRNOT00000026263	ENSRNOP00000026264	499095		F1M973			
ENSRNOG00000018953	ENSRNOT00000092048	ENSRNOP00000070090	292699	G3V8H4		Cblc		
ENSRNOG00000067357	ENSRNOT00000091920	ENSRNOP00000075423	406044		D4A4D2	Olr444	NP_001001123	
ENSRNOG00000006731	ENSRNOT00000008837	ENSRNOP00000008837	295661	Q5M856		Spc25	NP_001009654	
ENSRNOG00000011135	ENSRNOT00000015032	ENSRNOP00000015033	81673		A0A0A0MXW7	Gtf2b		
ENSRNOG00000022511	ENSRNOT00000082912	ENSRNOP00000073694	294892		A0A0G2K665	tGap1	NP_001007636	
ENSRNOG00000050663	ENSRNOT00000075021	ENSRNOP00000090128	684365			Or51h5		
ENSRNOG00000064423	ENSRNOT00000094414	ENSRNOP00000097303	685793					
ENSRNOG00000011135	ENSRNOT00000089648	ENSRNOP00000070077	81673		A0A0G2JWZ8	Gtf2b		
ENSRNOG00000065021	ENSRNOT00000109115	ENSRNOP00000085361	499583			Naaladl2		
ENSRNOG00000022511	ENSRNOT00000033404	ENSRNOP00000032200	294892		G3V905	tGap1	NP_001007636	
ENSRNOG00000016574	ENSRNOT00000103335	ENSRNOP00000080675	292584			Fiz1	NP_001099693	
ENSRNOG00000064423	ENSRNOT00000104569	ENSRNOP00000081082	685793					
ENSRNOG00000062826	ENSRNOT00000111037	ENSRNOP00000088212				Gm17651		
ENSRNOG00000016574	ENSRNOT00000022236	ENSRNOP00000022236	292584		D3ZP93	Fiz1	NP_001099693	
ENSRNOG00000064423	ENSRNOT00000096107	ENSRNOP00000090320	685793					
ENSRNOG00000065021	ENSRNOT00000100268	ENSRNOP00000090842	499583			Naaladl2		
ENSRNOG00000014753	ENSRNOT00000106765	ENSRNOP00000081559	312451			Tcf7l1	NP_001101335	
ENSRNOG00000032137	ENSRNOT00000052350	ENSRNOP00000074236	691398		A0A0G2K7J9	Foxb2	NP_001162056	
ENSRNOG00000014753	ENSRNOT00000020005	ENSRNOP00000020005	312451		F1M1R9	Tcf7l1	NP_001101335	
ENSRNOG00000065021	ENSRNOT00000110598	ENSRNOP00000083736	499583			Naaladl2		
ENSRNOG00000055608	ENSRNOT00000088746	ENSRNOP00000069795	102548695		A0A0G2JW96			
ENSRNOG00000048436	ENSRNOT00000072815	ENSRNOP00000066616	502357		M0RAR1	Olfr574		
ENSRNOG00000052014	ENSRNOT00000090000	ENSRNOP00000073058	295765		A0A0G2K4I6	Olr510	NP_001000312	
ENSRNOG00000008282	ENSRNOT00000011035	ENSRNOP00000011035	366142		D4A3N9	Elf5	NP_001102426	
ENSRNOG00000068222	ENSRNOT00000102968	ENSRNOP00000090719						
ENSRNOG00000011758	ENSRNOT00000112234	ENSRNOP00000091197	295672			Fkbp7		
ENSRNOG00000061525	ENSRNOT00000049057	ENSRNOP00000045673	499297		F1M8N1	RGD1562011		
ENSRNOG00000011052	ENSRNOT00000014780	ENSRNOP00000014780	297113	Q5I0G4		Gars	NP_001258068	
ENSRNOG00000008282	ENSRNOT00000095913	ENSRNOP00000087846	366142			Elf5	NP_001102426	
ENSRNOG00000016837	ENSRNOT00000022895	ENSRNOP00000022895	24265		A0A0G2JSP8	Ckm	NP_036662	
ENSRNOG00000034083	ENSRNOT00000051894	ENSRNOP00000041128	365324		F1LXE2	Olr67	NP_001001279	
ENSRNOG00000011758	ENSRNOT00000015722	ENSRNOP00000015722	295672		D3Z9M5	Fkbp7		
ENSRNOG00000013641	ENSRNOT00000019053	ENSRNOP00000019053	266714		Q8CJE3	Myo7a		
ENSRNOG00000016608	ENSRNOT00000022349	ENSRNOP00000022349	308339		B1WBW3	Zfp579	NP_001119748	
ENSRNOG00000015821	ENSRNOT00000021268	ENSRNOP00000021268	497761	P08921		Cd2	NP_036962	
ENSRNOG00000011758	ENSRNOT00000108707	ENSRNOP00000086609	295672			Fkbp7		
ENSRNOG00000020347	ENSRNOT00000027575	ENSRNOP00000027575	81738	P49793		Nup98		
ENSRNOG00000004679	ENSRNOT00000107158	ENSRNOP00000081312	295649			Fign	NP_001099954	
ENSRNOG00000025953	ENSRNOT00000039453	ENSRNOP00000035488	681006		D4A2P4			
ENSRNOG00000037833	ENSRNOT00000057478	ENSRNOP00000054288	404868		D4A847	Olr563	NP_001000666	
ENSRNOG00000009792	ENSRNOT00000081423	ENSRNOP00000072719	361964		A0A0G2K3P2	Zbbx	NP_001025093	
ENSRNOG00000027112	ENSRNOT00000027745	ENSRNOP00000027745	499135		Q4V8D0	MGC114499	NP_001020078	
ENSRNOG00000004679	ENSRNOT00000006175	ENSRNOP00000006175	295649		D3ZYS4	Fign	NP_001099954	
ENSRNOG00000025953	ENSRNOT00000114359	ENSRNOP00000092106	681006					
ENSRNOG00000020347	ENSRNOT00000117464	ENSRNOP00000094157	81738			Nup98		
ENSRNOG00000013641	ENSRNOT00000103282	ENSRNOP00000083122	266714			Myo7a		
ENSRNOG00000063952	ENSRNOT00000017572	ENSRNOP00000017572	405934		D3ZE76	Olr372	NP_001001048	
ENSRNOG00000063054	ENSRNOT00000097129	ENSRNOP00000080780	108349838		Q5J3E0	Vom1r51		
