Gene stable ID	RefSeq peptide ID
ENSRNOG00000016421	NP_001101005
ENSRNOG00000019455	NP_001101179
ENSRNOG00000065756	NP_001178893
ENSRNOG00000019455	
ENSRNOG00000014726	NP_859046
ENSRNOG00000004967	
ENSRNOG00000018334	NP_001099721
ENSRNOG00000023407	NP_001102349
ENSRNOG00000004967	NP_001102062
ENSRNOG00000061890	NP_599207
ENSRNOG00000030825	NP_001000673
ENSRNOG00000063357	
ENSRNOG00000067027	
ENSRNOG00000023407	
ENSRNOG00000014617	
ENSRNOG00000017366	NP_001000549
ENSRNOG00000010529	NP_001162609
ENSRNOG00000065221	NP_113690
ENSRNOG00000012684	NP_001032426
ENSRNOG00000032699	NP_001099695
ENSRNOG00000018408	NP_001103134
ENSRNOG00000019416	
ENSRNOG00000007608	NP_001102694
ENSRNOG00000008980	NP_001019417
ENSRNOG00000018408	
ENSRNOG00000032699	
ENSRNOG00000056110	NP_001000680
ENSRNOG00000014617	NP_620195
ENSRNOG00000061890	
ENSRNOG00000070161	
ENSRNOG00000028721	NP_001102430
ENSRNOG00000015294	NP_001100026
ENSRNOG00000019416	NP_001017512
ENSRNOG00000066101	
ENSRNOG00000013074	NP_113722
ENSRNOG00000015294	
ENSRNOG00000036631	NP_001012070
ENSRNOG00000027016	
ENSRNOG00000067771	
ENSRNOG00000013074	
ENSRNOG00000063217	NP_001155163
ENSRNOG00000069390	
ENSRNOG00000063736	
ENSRNOG00000009468	NP_445842
ENSRNOG00000016659	NP_001001505
ENSRNOG00000047406	
ENSRNOG00000063217	
ENSRNOG00000014946	NP_001009688
ENSRNOG00000009135	
ENSRNOG00000067778	NP_001000314
ENSRNOG00000009468	
ENSRNOG00000031110	NP_001001008
ENSRNOG00000014946	
ENSRNOG00000012684	
ENSRNOG00000067832	
ENSRNOG00000016659	
ENSRNOG00000016597	
ENSRNOG00000020318	NP_001004259
ENSRNOG00000022491	
ENSRNOG00000010628	NP_001006979
ENSRNOG00000020318	
ENSRNOG00000062564	
ENSRNOG00000010628	
ENSRNOG00000068976	
ENSRNOG00000028095	NP_001001519
ENSRNOG00000051199	
ENSRNOG00000018940	
ENSRNOG00000031947	
ENSRNOG00000016565	
ENSRNOG00000033706	
ENSRNOG00000065362	NP_001000285
ENSRNOG00000061455	NP_001001045
ENSRNOG00000018940	NP_446315
ENSRNOG00000013945	
ENSRNOG00000015424	NP_001001021
ENSRNOG00000018953	NP_001030092
ENSRNOG00000014385	
ENSRNOG00000000096	NP_113900
ENSRNOG00000019138	NP_001012477
ENSRNOG00000009172	NP_001025098
ENSRNOG00000013198	NP_001001276
ENSRNOG00000013945	NP_835195
ENSRNOG00000021695	
ENSRNOG00000068014	
ENSRNOG00000011135	NP_112303
ENSRNOG00000014385	NP_001178777
ENSRNOG00000050445	NP_116004
ENSRNOG00000018953	
ENSRNOG00000019138	
ENSRNOG00000009172	
ENSRNOG00000021695	NP_001019491
ENSRNOG00000053559	NP_001000257
ENSRNOG00000065649	
ENSRNOG00000067357	NP_001001123
ENSRNOG00000006731	NP_001009654
ENSRNOG00000011135	
ENSRNOG00000022511	
ENSRNOG00000050663	
ENSRNOG00000064423	
ENSRNOG00000065021	
ENSRNOG00000022511	NP_001007636
ENSRNOG00000016574	
ENSRNOG00000062826	
ENSRNOG00000016574	NP_001099693
ENSRNOG00000014753	
ENSRNOG00000032137	NP_001162056
ENSRNOG00000014753	NP_001101335
ENSRNOG00000055608	
ENSRNOG00000048436	
ENSRNOG00000052014	NP_001000312
ENSRNOG00000008282	
ENSRNOG00000068222	
ENSRNOG00000011758	NP_001099955
ENSRNOG00000061525	
ENSRNOG00000011052	NP_001258068
ENSRNOG00000008282	NP_001102426
ENSRNOG00000016837	NP_036662
ENSRNOG00000034083	NP_001001279
ENSRNOG00000011758	
ENSRNOG00000013641	NP_703203
ENSRNOG00000016608	NP_001119748
ENSRNOG00000015821	NP_036962
ENSRNOG00000020347	NP_112336
ENSRNOG00000004679	
ENSRNOG00000025953	
ENSRNOG00000037833	NP_001000666
ENSRNOG00000009792	
ENSRNOG00000027112	NP_001020078
ENSRNOG00000004679	NP_001099954
ENSRNOG00000020347	
ENSRNOG00000013641	
ENSRNOG00000063952	NP_001001048
ENSRNOG00000063054	
ENSRNOG00000016362	NP_001020851
ENSRNOG00000009792	NP_001025093
ENSRNOG00000026055	NP_001102707
ENSRNOG00000018117	NP_001006973
ENSRNOG00000013671	NP_001092935
ENSRNOG00000010616	
ENSRNOG00000017307	NP_001007692
ENSRNOG00000017307	
ENSRNOG00000022837	NP_001032263
ENSRNOG00000015649	NP_001000133
ENSRNOG00000018117	
ENSRNOG00000010616	NP_001101288
ENSRNOG00000037356	NP_001014203
ENSRNOG00000014000	NP_445828
ENSRNOG00000070165	
ENSRNOG00000022837	
ENSRNOG00000037356	
ENSRNOG00000032600	NP_001000259
ENSRNOG00000014000	
ENSRNOG00000020942	
ENSRNOG00000008738	NP_001101219
ENSRNOG00000018441	
ENSRNOG00000020942	NP_954532
ENSRNOG00000018441	NP_569107
ENSRNOG00000017749	
ENSRNOG00000017795	NP_640354
ENSRNOG00000008738	
ENSRNOG00000068787	NP_001000555
ENSRNOG00000015657	NP_001001280
ENSRNOG00000007979	NP_001007643
ENSRNOG00000017749	NP_598224
ENSRNOG00000028120	
ENSRNOG00000062792	NP_001000683
ENSRNOG00000017079	NP_001102924
ENSRNOG00000040275	
ENSRNOG00000007979	
ENSRNOG00000031648	NP_001000253
ENSRNOG00000042133	
ENSRNOG00000016580	NP_511172
ENSRNOG00000016189	
ENSRNOG00000061080	
ENSRNOG00000052745	NP_113705
ENSRNOG00000009748	NP_001000221
ENSRNOG00000009764	NP_001000308
ENSRNOG00000069157	
ENSRNOG00000037333	NP_001102613
ENSRNOG00000017330	
ENSRNOG00000009258	NP_001178790
ENSRNOG00000052745	
ENSRNOG00000009548	NP_001376152
ENSRNOG00000062409	
ENSRNOG00000008758	NP_001101220
ENSRNOG00000069767	
ENSRNOG00000009548	
ENSRNOG00000070507	
ENSRNOG00000009258	
ENSRNOG00000067419	NP_001001281
ENSRNOG00000015230	
ENSRNOG00000069767	NP_001092932
ENSRNOG00000033009	
ENSRNOG00000070507	NP_001000375
ENSRNOG00000069344	NP_001001042
ENSRNOG00000063734	
ENSRNOG00000062409	NP_001000764
ENSRNOG00000059640	NP_446152
ENSRNOG00000017069	
ENSRNOG00000011830	NP_001013095
ENSRNOG00000021013	
ENSRNOG00000016878	
ENSRNOG00000004852	NP_001014071
ENSRNOG00000033009	NP_001000540
ENSRNOG00000015760	NP_001000135
ENSRNOG00000030326	NP_001001043
ENSRNOG00000063850	
ENSRNOG00000004645	NP_113984
ENSRNOG00000070234	
ENSRNOG00000069767	NP_001092929
ENSRNOG00000056660	
ENSRNOG00000011830	
ENSRNOG00000033028	NP_001041413
ENSRNOG00000021478	NP_001037760
ENSRNOG00000011145	
ENSRNOG00000005921	NP_001000927
ENSRNOG00000058157	
ENSRNOG00000018755	NP_001101263
ENSRNOG00000067256	
ENSRNOG00000062789	
ENSRNOG00000070505	
ENSRNOG00000015764	NP_001002270
ENSRNOG00000017069	NP_001178000
ENSRNOG00000009548	NP_955788
ENSRNOG00000027542	
ENSRNOG00000066619	
ENSRNOG00000062789	NP_001001040
ENSRNOG00000061046	
ENSRNOG00000066619	NP_001000116
ENSRNOG00000004852	
ENSRNOG00000070505	NP_001000605
ENSRNOG00000064644	
ENSRNOG00000015734	NP_001178766
ENSRNOG00000018755	
ENSRNOG00000021478	
ENSRNOG00000018394	NP_001101007
ENSRNOG00000011145	NP_073205
ENSRNOG00000066931	NP_001000758
ENSRNOG00000021472	NP_001008312
ENSRNOG00000020420	
ENSRNOG00000013520	
ENSRNOG00000018677	
ENSRNOG00000016878	NP_001101190
ENSRNOG00000069276	
ENSRNOG00000039466	NP_001019492
ENSRNOG00000015769	NP_001001270
ENSRNOG00000006753	NP_001102429
ENSRNOG00000063784	NP_001000336
ENSRNOG00000063784	NP_001000926
ENSRNOG00000027542	NP_001156686
ENSRNOG00000018394	
ENSRNOG00000011653	
ENSRNOG00000069666	
ENSRNOG00000015734	
ENSRNOG00000001589	
ENSRNOG00000057094	NP_001001019
ENSRNOG00000057094	NP_001000756
ENSRNOG00000020420	NP_036756
ENSRNOG00000066949	
ENSRNOG00000013520	NP_599178
ENSRNOG00000021013	NP_112386
ENSRNOG00000033200	NP_001001282
ENSRNOG00000068411	
ENSRNOG00000027808	
ENSRNOG00000070396	
ENSRNOG00000052444	
ENSRNOG00000019207	NP_113939
ENSRNOG00000070396	NP_001000603
ENSRNOG00000027808	NP_001070261
ENSRNOG00000024213	
ENSRNOG00000069419	
ENSRNOG00000018677	NP_058789
ENSRNOG00000049772	
ENSRNOG00000053859	NP_001101054
ENSRNOG00000019207	
ENSRNOG00000069337	
ENSRNOG00000030275	NP_001000137
ENSRNOG00000063685	NP_001000352
ENSRNOG00000049772	NP_001102640
ENSRNOG00000016714	NP_001107215
ENSRNOG00000025214	NP_001333290
ENSRNOG00000025214	NP_001333291
ENSRNOG00000020358	NP_001008305
ENSRNOG00000064903	NP_001163871
ENSRNOG00000018915	NP_001296378
ENSRNOG00000058869	
ENSRNOG00000024213	NP_001178496
ENSRNOG00000016714	NP_001100913
ENSRNOG00000015785	NP_001000138
ENSRNOG00000062610	NP_001000651
ENSRNOG00000021442	NP_001101930
ENSRNOG00000053502	
ENSRNOG00000020307	NP_001128050
ENSRNOG00000049605	
ENSRNOG00000022921	
ENSRNOG00000069815	
ENSRNOG00000017291	NP_058748
ENSRNOG00000054856	NP_001000249
ENSRNOG00000020307	
ENSRNOG00000022921	NP_001100934
ENSRNOG00000017291	
ENSRNOG00000014278	NP_001128035
ENSRNOG00000009571	NP_671744
ENSRNOG00000016714	
ENSRNOG00000000009	
ENSRNOG00000069696	
ENSRNOG00000024016	
ENSRNOG00000069407	NP_001000638
ENSRNOG00000011653	NP_954677
ENSRNOG00000009571	
ENSRNOG00000008663	NP_001101226
ENSRNOG00000021290	NP_001000543
ENSRNOG00000014278	
ENSRNOG00000015902	NP_001099776
ENSRNOG00000021912	
ENSRNOG00000019942	
ENSRNOG00000030818	
ENSRNOG00000050321	NP_001128021
ENSRNOG00000062307	
ENSRNOG00000013981	NP_062126
ENSRNOG00000019942	NP_001013082
ENSRNOG00000019023	
ENSRNOG00000050321	
ENSRNOG00000053939	
ENSRNOG00000015928	
ENSRNOG00000060826	NP_001000746
ENSRNOG00000068161	NP_001000649
ENSRNOG00000070274	NP_001000694
ENSRNOG00000071163	
ENSRNOG00000068810	NP_001000251
ENSRNOG00000043114	NP_001128646
ENSRNOG00000000091	NP_620227
ENSRNOG00000017930	NP_001094205
ENSRNOG00000006397	NP_059058
ENSRNOG00000043114	
ENSRNOG00000015928	NP_001102071
ENSRNOG00000017930	
ENSRNOG00000000091	
ENSRNOG00000013102	
ENSRNOG00000019869	NP_001121166
ENSRNOG00000067758	NP_001020451
ENSRNOG00000013208	NP_001001278
ENSRNOG00000006803	
ENSRNOG00000020624	
ENSRNOG00000063801	
ENSRNOG00000012730	NP_001178553
ENSRNOG00000006408	NP_001000629
ENSRNOG00000050189	NP_001000745
ENSRNOG00000019023	NP_001006977
ENSRNOG00000043280	NP_001092957
ENSRNOG00000049057	NP_001102098
ENSRNOG00000013102	NP_742027
ENSRNOG00000007234	NP_037073
ENSRNOG00000012730	
ENSRNOG00000006803	NP_001099956
ENSRNOG00000067229	
ENSRNOG00000046005	NP_114029
ENSRNOG00000019671	NP_001178639
ENSRNOG00000070788	
ENSRNOG00000066942	
ENSRNOG00000013102	NP_001004231
ENSRNOG00000058906	
ENSRNOG00000064878	NP_001000513
ENSRNOG00000010342	
ENSRNOG00000068139	NP_001100968
ENSRNOG00000023411	
ENSRNOG00000007416	NP_001009599
ENSRNOG00000048810	NP_001000139
ENSRNOG00000065602	
ENSRNOG00000020624	NP_037216
ENSRNOG00000058906	NP_001178874
ENSRNOG00000009176	NP_001008315
ENSRNOG00000025141	
ENSRNOG00000016179	
ENSRNOG00000021794	NP_001101044
ENSRNOG00000069504	
ENSRNOG00000009176	
ENSRNOG00000070568	NP_001092930
ENSRNOG00000037393	
ENSRNOG00000013949	
ENSRNOG00000046734	NP_001178901
ENSRNOG00000033543	NP_001000284
ENSRNOG00000067740	
ENSRNOG00000013949	NP_001014183
ENSRNOG00000016179	NP_001099978
ENSRNOG00000016387	NP_001102037
ENSRNOG00000036811	NP_001001023
ENSRNOG00000018964	
ENSRNOG00000016103	
ENSRNOG00000067782	
ENSRNOG00000017408	NP_001005538
ENSRNOG00000033164	NP_775416
ENSRNOG00000069900	NP_001019540
ENSRNOG00000034012	NP_001100978
ENSRNOG00000016103	NP_001100924
ENSRNOG00000018217	NP_062223
ENSRNOG00000013282	NP_001363863
ENSRNOG00000017408	
ENSRNOG00000033863	
ENSRNOG00000018964	NP_037094
ENSRNOG00000013282	
ENSRNOG00000032712	NP_001000339
ENSRNOG00000047508	
ENSRNOG00000064646	NP_001001024
ENSRNOG00000043106	
ENSRNOG00000061803	NP_001000235
ENSRNOG00000067296	
ENSRNOG00000006419	
ENSRNOG00000069797	
ENSRNOG00000014996	NP_001004217
ENSRNOG00000008663	
ENSRNOG00000024016	NP_001013926
ENSRNOG00000058790	NP_001100936
ENSRNOG00000006675	NP_036688
ENSRNOG00000006419	NP_001101227
ENSRNOG00000067830	
ENSRNOG00000069709	NP_001128732
ENSRNOG00000020371	NP_446347
ENSRNOG00000014996	
ENSRNOG00000009555	NP_001019478
ENSRNOG00000017914	NP_604444
ENSRNOG00000058790	
ENSRNOG00000029732	
ENSRNOG00000069709	
ENSRNOG00000016993	NP_001000165
ENSRNOG00000009555	
ENSRNOG00000014705	NP_001101081
ENSRNOG00000068071	NP_001000647
ENSRNOG00000014705	
ENSRNOG00000020643	
ENSRNOG00000020371	
ENSRNOG00000066288	
ENSRNOG00000013886	NP_001102646
ENSRNOG00000026440	
ENSRNOG00000011195	NP_001019951
ENSRNOG00000016812	NP_001358944
ENSRNOG00000067894	
ENSRNOG00000018686	
ENSRNOG00000065706	
ENSRNOG00000047137	
ENSRNOG00000011195	
ENSRNOG00000036807	NP_001071146
ENSRNOG00000013886	
ENSRNOG00000022353	NP_001163876
ENSRNOG00000015825	NP_001295465
ENSRNOG00000066089	NP_001000645
ENSRNOG00000066089	NP_001000340
ENSRNOG00000015825	
ENSRNOG00000018997	NP_001101264
ENSRNOG00000026059	
ENSRNOG00000050343	
ENSRNOG00000018491	NP_001099979
ENSRNOG00000031086	
ENSRNOG00000013069	NP_001102888
ENSRNOG00000009152	NP_001012185
ENSRNOG00000016872	NP_001001508
ENSRNOG00000064500	
ENSRNOG00000064970	
ENSRNOG00000070889	
ENSRNOG00000017016	NP_001013921
ENSRNOG00000018491	
ENSRNOG00000062632	NP_001000351
ENSRNOG00000000095	
ENSRNOG00000013314	
ENSRNOG00000016872	
ENSRNOG00000014840	NP_001013169
ENSRNOG00000026059	NP_001178006
ENSRNOG00000004784	NP_001119843
ENSRNOG00000013069	
ENSRNOG00000020643	NP_001041371
ENSRNOG00000025060	
ENSRNOG00000004784	
ENSRNOG00000000095	NP_001132958
ENSRNOG00000047571	
ENSRNOG00000017138	NP_001000166
ENSRNOG00000010153	
ENSRNOG00000067634	NP_001000632
ENSRNOG00000012580	
ENSRNOG00000005162	NP_001102067
ENSRNOG00000009932	
ENSRNOG00000020865	
ENSRNOG00000020131	NP_001102944
ENSRNOG00000018686	NP_001123569
ENSRNOG00000066986	
ENSRNOG00000046947	NP_001102421
ENSRNOG00000019270	NP_476465
ENSRNOG00000066577	
ENSRNOG00000027098	NP_001101020
ENSRNOG00000017311	
ENSRNOG00000018762	NP_001101933
ENSRNOG00000070613	NP_001129281
ENSRNOG00000009932	NP_001178554
ENSRNOG00000046947	
ENSRNOG00000015956	
ENSRNOG00000046036	
ENSRNOG00000019270	
ENSRNOG00000010517	
ENSRNOG00000018541	NP_001000127
ENSRNOG00000065604	NP_001000670
ENSRNOG00000015268	NP_001030026
ENSRNOG00000015956	NP_001101935
ENSRNOG00000010153	NP_036771
ENSRNOG00000032002	NP_062062
ENSRNOG00000027098	
ENSRNOG00000018019	
ENSRNOG00000020865	NP_001101034
ENSRNOG00000010482	NP_114446
ENSRNOG00000018742	NP_001099722
ENSRNOG00000017311	NP_001101961
ENSRNOG00000032002	
ENSRNOG00000047464	
ENSRNOG00000057858	
ENSRNOG00000015226	NP_001099922
ENSRNOG00000069644	
ENSRNOG00000065201	
ENSRNOG00000070069	NP_001000633
ENSRNOG00000016372	
ENSRNOG00000017143	NP_001000739
ENSRNOG00000010517	NP_001178898
ENSRNOG00000019152	NP_001094218
ENSRNOG00000018019	NP_001100915
ENSRNOG00000069644	NP_001092928
ENSRNOG00000015226	
ENSRNOG00000017376	NP_001102413
ENSRNOG00000020714	NP_001129701
ENSRNOG00000042222	
ENSRNOG00000063775	
ENSRNOG00000062892	
ENSRNOG00000016372	NP_001013162
ENSRNOG00000019296	NP_001102420
ENSRNOG00000013448	NP_001001506
ENSRNOG00000017376	
ENSRNOG00000020714	
ENSRNOG00000050486	
ENSRNOG00000063356	NP_001000305
ENSRNOG00000004783	
ENSRNOG00000064747	NP_001000220
ENSRNOG00000049759	
ENSRNOG00000019812	NP_113814
ENSRNOG00000070257	
ENSRNOG00000042814	NP_001032744
ENSRNOG00000070048	
ENSRNOG00000064697	
ENSRNOG00000067076	
ENSRNOG00000068327	NP_001099717
ENSRNOG00000020393	
ENSRNOG00000061414	NP_570103
ENSRNOG00000006030	NP_037212
ENSRNOG00000020393	NP_001032272
ENSRNOG00000042814	
ENSRNOG00000025940	NP_001156636
ENSRNOG00000068327	
ENSRNOG00000025219	
ENSRNOG00000010131	
ENSRNOG00000030127	NP_620276
ENSRNOG00000042068	NP_001101167
ENSRNOG00000006030	
ENSRNOG00000067797	NP_001000685
ENSRNOG00000068967	
ENSRNOG00000062390	
ENSRNOG00000010131	NP_001101256
ENSRNOG00000067278	
ENSRNOG00000014969	NP_001014269
ENSRNOG00000067541	NP_001119762
ENSRNOG00000066280	
ENSRNOG00000065360	
ENSRNOG00000010308	
ENSRNOG00000046395	
ENSRNOG00000042927	
ENSRNOG00000013426	
ENSRNOG00000017277	NP_598226
ENSRNOG00000048043	NP_037082
ENSRNOG00000017851	NP_001004220
ENSRNOG00000010308	NP_542956
ENSRNOG00000013426	NP_714944
ENSRNOG00000065112	
ENSRNOG00000030127	
ENSRNOG00000010840	NP_001101003
ENSRNOG00000065285	
ENSRNOG00000068353	
ENSRNOG00000068788	
ENSRNOG00000049721	NP_001000561
ENSRNOG00000017851	
ENSRNOG00000022182	
ENSRNOG00000062547	
ENSRNOG00000042465	NP_001102987
ENSRNOG00000002524	NP_476549
ENSRNOG00000017998	NP_001178630
ENSRNOG00000038625	NP_001121011
ENSRNOG00000065098	
ENSRNOG00000065322	NP_001000154
ENSRNOG00000009533	
ENSRNOG00000029394	NP_001101980
ENSRNOG00000017884	
ENSRNOG00000068609	
ENSRNOG00000063688	
ENSRNOG00000021082	NP_001017385
ENSRNOG00000062438	
ENSRNOG00000021240	NP_112641
ENSRNOG00000020197	NP_001099795
ENSRNOG00000069291	NP_001000155
ENSRNOG00000016687	NP_001128017
ENSRNOG00000065630	
ENSRNOG00000068507	
ENSRNOG00000015058	NP_570093
ENSRNOG00000064627	
ENSRNOG00000066299	
ENSRNOG00000011439	NP_110456
ENSRNOG00000063131	NP_001001384
ENSRNOG00000059984	NP_114452
ENSRNOG00000021240	
ENSRNOG00000022729	
ENSRNOG00000017635	NP_001102393
ENSRNOG00000029978	NP_001000156
ENSRNOG00000033843	
ENSRNOG00000059984	
ENSRNOG00000021151	NP_742042
ENSRNOG00000021817	NP_001020593
ENSRNOG00000062326	
ENSRNOG00000021151	
ENSRNOG00000011439	
ENSRNOG00000020363	
ENSRNOG00000052463	NP_001000616
ENSRNOG00000069636	
ENSRNOG00000030404	
ENSRNOG00000032984	
ENSRNOG00000021093	NP_001020815
ENSRNOG00000027089	
ENSRNOG00000015058	
ENSRNOG00000018433	NP_852097
ENSRNOG00000009226	
ENSRNOG00000049829	
ENSRNOG00000005479	NP_001030310
ENSRNOG00000005479	NP_058911
ENSRNOG00000017063	NP_112638
ENSRNOG00000021093	
ENSRNOG00000009226	NP_001100043
ENSRNOG00000021817	
ENSRNOG00000012165	NP_001178902
ENSRNOG00000031840	NP_036850
ENSRNOG00000017063	
ENSRNOG00000020363	NP_001163897
ENSRNOG00000020925	NP_001006975
ENSRNOG00000070343	NP_001000636
ENSRNOG00000047816	NP_445877
ENSRNOG00000030404	NP_037042
ENSRNOG00000066499	
ENSRNOG00000004912	
ENSRNOG00000025163	NP_001001027
ENSRNOG00000058564	
ENSRNOG00000026319	
ENSRNOG00000012021	NP_001020041
ENSRNOG00000014327	NP_476485
ENSRNOG00000014004	
ENSRNOG00000046339	NP_001092937
ENSRNOG00000070917	
ENSRNOG00000018310	NP_001127977
ENSRNOG00000012165	
ENSRNOG00000055259	NP_001178551
ENSRNOG00000047816	
ENSRNOG00000014327	
ENSRNOG00000043313	
ENSRNOG00000010896	NP_001019480
ENSRNOG00000012021	
ENSRNOG00000068849	NP_001000344
ENSRNOG00000017105	NP_112289
ENSRNOG00000018310	
ENSRNOG00000069104	NP_001001272
ENSRNOG00000062620	
ENSRNOG00000028982	
ENSRNOG00000012140	
ENSRNOG00000014828	NP_599200
ENSRNOG00000066816	
ENSRNOG00000020497	NP_001073363
ENSRNOG00000025154	
ENSRNOG00000060329	
ENSRNOG00000024630	
ENSRNOG00000021157	NP_059016
ENSRNOG00000017105	
ENSRNOG00000069256	NP_001000347
ENSRNOG00000060329	NP_446171
ENSRNOG00000071133	NP_001001285
ENSRNOG00000062790	
ENSRNOG00000020497	
ENSRNOG00000014266	
ENSRNOG00000005479	NP_001289018
ENSRNOG00000012140	NP_001121071
ENSRNOG00000066060	NP_001000258
ENSRNOG00000021157	
ENSRNOG00000066060	
ENSRNOG00000067461	
ENSRNOG00000011093	
ENSRNOG00000063497	
ENSRNOG00000016551	
ENSRNOG00000026319	NP_001032170
ENSRNOG00000067992	
ENSRNOG00000070847	NP_001000601
ENSRNOG00000005479	
ENSRNOG00000011093	NP_001290546
ENSRNOG00000043392	NP_001001288
ENSRNOG00000015753	NP_476477
ENSRNOG00000063277	
ENSRNOG00000037156	
ENSRNOG00000067992	NP_001092931
ENSRNOG00000066576	NP_001000353
ENSRNOG00000070838	
ENSRNOG00000015753	
ENSRNOG00000031247	NP_001108501
ENSRNOG00000015925	NP_001094168
ENSRNOG00000060159	
ENSRNOG00000068067	
ENSRNOG00000015925	
ENSRNOG00000031247	
ENSRNOG00000028781	NP_112275
ENSRNOG00000016551	NP_741985
ENSRNOG00000006802	
ENSRNOG00000024990	
ENSRNOG00000006802	NP_001032440
ENSRNOG00000017351	NP_001001032
ENSRNOG00000063169	
ENSRNOG00000024990	NP_001102670
ENSRNOG00000068151	
ENSRNOG00000070839	
ENSRNOG00000043478	
ENSRNOG00000066788	NP_001000923
ENSRNOG00000070319	
ENSRNOG00000042536	NP_001106800
ENSRNOG00000011306	NP_788268
ENSRNOG00000054561	
ENSRNOG00000031381	
ENSRNOG00000011107	NP_058787
ENSRNOG00000011295	NP_001094002
ENSRNOG00000021176	NP_001178025
ENSRNOG00000019491	
ENSRNOG00000021153	NP_001127901
ENSRNOG00000021153	NP_001127900
ENSRNOG00000019626	NP_077057
ENSRNOG00000042536	NP_001106799
ENSRNOG00000010930	NP_001100067
ENSRNOG00000054561	NP_001008510
ENSRNOG00000068216	NP_001001283
ENSRNOG00000014448	
ENSRNOG00000021153	
ENSRNOG00000023081	
ENSRNOG00000046632	NP_001000663
ENSRNOG00000019491	NP_001013087
ENSRNOG00000031224	NP_001001286
ENSRNOG00000042536	NP_001106803
ENSRNOG00000037137	NP_001258013
ENSRNOG00000014380	
ENSRNOG00000012764	NP_001102086
ENSRNOG00000005920	
ENSRNOG00000037137	
ENSRNOG00000042536	NP_058728
ENSRNOG00000065938	NP_001000161
ENSRNOG00000064913	
ENSRNOG00000012764	
ENSRNOG00000014448	NP_077338
ENSRNOG00000020330	
ENSRNOG00000017150	NP_001099567
ENSRNOG00000042536	
ENSRNOG00000017874	NP_036655
ENSRNOG00000015168	NP_001102383
ENSRNOG00000022308	
ENSRNOG00000011713	
ENSRNOG00000064912	NP_001000662
ENSRNOG00000006238	NP_001101285
ENSRNOG00000020330	NP_001094172
ENSRNOG00000014836	NP_001258139
ENSRNOG00000062805	NP_001000689
ENSRNOG00000040166	NP_001102644
ENSRNOG00000069196	NP_001000162
ENSRNOG00000000017	NP_001100099
ENSRNOG00000062805	
ENSRNOG00000067040	
ENSRNOG00000067970	
ENSRNOG00000024119	NP_114464
ENSRNOG00000042536	NP_001106805
ENSRNOG00000014836	
